Start time: 1730673769780
[2024-11-03T15:42:50.849357-0700] nuttcp-t: v8.1.4: socket
[2024-11-03T15:42:50.850218-0700] nuttcp-t: buflen=65536, nstream=1, port=5103 tcp -> 54.176.53.206
[2024-11-03T15:42:50.850346-0700] nuttcp-t: time limit = 120.00 seconds
[2024-11-03T15:42:50.850434-0700] nuttcp-t: connect to 54.176.53.206 with mss=1448, RTT=59.331 ms af=inet
[2024-11-03T15:42:50.850519-0700] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-11-03T15:42:50.850671-0700] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-11-03T15:42:50.850763-0700] nuttcp-t: initial congestion window = 14 KB (10 packets)
[2024-11-03T15:42:50.850844-0700] nuttcp-r: v6.1.2: socket
[2024-11-03T15:42:50.850923-0700] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-03T15:42:50.850998-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-03T15:42:50.851073-0700] nuttcp-r: accept from 216.147.125.194
[2024-11-03T15:42:50.851149-0700] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-03T15:42:50.851226-0700] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-03T15:42:50.851302-0700]     0.2500 MB /   0.50 sec =    4.1941 Mbps    10 retrans    182 KB-cwnd
[2024-11-03T15:42:51.426399-0700]     0.9375 MB /   0.50 sec =   15.7286 Mbps    16 retrans     84 KB-cwnd
[2024-11-03T15:42:51.953638-0700]     0.7500 MB /   0.50 sec =   12.5831 Mbps     2 retrans     55 KB-cwnd
[2024-11-03T15:42:52.814889-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     1 retrans     46 KB-cwnd
[2024-11-03T15:42:52.815449-0700]     0.3125 MB /   0.50 sec =    5.2419 Mbps     0 retrans     46 KB-cwnd
[2024-11-03T15:42:53.778532-0700]     0.3125 MB /   0.50 sec =    5.2440 Mbps     1 retrans     42 KB-cwnd
[2024-11-03T15:42:53.779117-0700]     0.2500 MB /   0.50 sec =    4.1941 Mbps     0 retrans     42 KB-cwnd
[2024-11-03T15:42:54.684225-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     49 KB-cwnd
[2024-11-03T15:42:55.702820-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     1 retrans     43 KB-cwnd
[2024-11-03T15:42:55.703209-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans     43 KB-cwnd
[2024-11-03T15:42:55.703290-0700]     0.3125 MB /   0.50 sec =    5.2424 Mbps     0 retrans     43 KB-cwnd
[2024-11-03T15:42:56.546291-0700]     0.3125 MB /   0.50 sec =    5.2433 Mbps     0 retrans     93 KB-cwnd
[2024-11-03T15:42:57.485065-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     4 retrans     46 KB-cwnd
[2024-11-03T15:42:57.485592-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     46 KB-cwnd
[2024-11-03T15:42:58.713905-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     52 KB-cwnd
[2024-11-03T15:42:58.714457-0700]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans     52 KB-cwnd
[2024-11-03T15:42:58.714665-0700]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans     52 KB-cwnd
[2024-11-03T15:43:00.088752-0700]     0.1875 MB /   0.50 sec =    3.1456 Mbps     3 retrans     28 KB-cwnd
[2024-11-03T15:43:00.089204-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     28 KB-cwnd
[2024-11-03T15:43:01.295200-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     49 KB-cwnd
[2024-11-03T15:43:01.295749-0700]     0.2500 MB /   0.50 sec =    4.1945 Mbps     0 retrans     49 KB-cwnd
[2024-11-03T15:43:01.295863-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans     49 KB-cwnd
[2024-11-03T15:43:01.811189-0700]     0.4375 MB /   0.50 sec =    7.3401 Mbps     8 retrans     79 KB-cwnd
[2024-11-03T15:43:02.366945-0700]     0.5625 MB /   0.50 sec =    9.4359 Mbps     4 retrans     65 KB-cwnd
[2024-11-03T15:43:03.070229-0700]     0.4375 MB /   0.50 sec =    7.3409 Mbps     1 retrans     56 KB-cwnd
[2024-11-03T15:43:03.828971-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     1 retrans     50 KB-cwnd
[2024-11-03T15:43:03.829356-0700]     0.3750 MB /   0.50 sec =    6.2917 Mbps     0 retrans     50 KB-cwnd
[2024-11-03T15:43:04.585468-0700]     0.3750 MB /   0.50 sec =    6.2911 Mbps     1 retrans     43 KB-cwnd
[2024-11-03T15:43:05.566727-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     2 retrans     39 KB-cwnd
[2024-11-03T15:43:05.567172-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     39 KB-cwnd
[2024-11-03T15:43:06.997794-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     7 retrans     24 KB-cwnd
[2024-11-03T15:43:06.998370-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     24 KB-cwnd
[2024-11-03T15:43:06.998520-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     24 KB-cwnd
[2024-11-03T15:43:08.133713-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps     1 retrans     74 KB-cwnd
[2024-11-03T15:43:08.134124-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     74 KB-cwnd
[2024-11-03T15:43:08.819864-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     6 retrans     49 KB-cwnd
[2024-11-03T15:43:08.820260-0700]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans     49 KB-cwnd
[2024-11-03T15:43:09.559995-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     1 retrans     42 KB-cwnd
[2024-11-03T15:43:10.473635-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     49 KB-cwnd
[2024-11-03T15:43:10.474001-0700]     0.3125 MB /   0.50 sec =    5.2426 Mbps     0 retrans     49 KB-cwnd
[2024-11-03T15:43:11.411430-0700]     0.3125 MB /   0.50 sec =    5.2431 Mbps     1 retrans     45 KB-cwnd
[2024-11-03T15:43:11.411809-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     45 KB-cwnd
[2024-11-03T15:43:12.521826-0700]     0.3125 MB /   0.50 sec =    5.2432 Mbps     0 retrans     52 KB-cwnd
[2024-11-03T15:43:12.522165-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans     52 KB-cwnd
[2024-11-03T15:43:13.480219-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     6 retrans     36 KB-cwnd
[2024-11-03T15:43:13.480565-0700]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans     36 KB-cwnd
[2024-11-03T15:43:14.524030-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     66 KB-cwnd
[2024-11-03T15:43:14.524437-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     66 KB-cwnd
[2024-11-03T15:43:15.481041-0700]     0.3125 MB /   0.50 sec =    5.2429 Mbps     6 retrans     38 KB-cwnd
[2024-11-03T15:43:15.481336-0700]     0.3125 MB /   0.50 sec =    5.2426 Mbps     0 retrans     38 KB-cwnd
[2024-11-03T15:43:16.519853-0700]     0.2500 MB /   0.50 sec =    4.1945 Mbps     0 retrans     45 KB-cwnd
[2024-11-03T15:43:16.520191-0700]     0.3125 MB /   0.50 sec =    5.2421 Mbps     0 retrans     45 KB-cwnd
[2024-11-03T15:43:17.450399-0700]     0.3125 MB /   0.50 sec =    5.2436 Mbps     2 retrans     43 KB-cwnd
[2024-11-03T15:43:17.451029-0700]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans     43 KB-cwnd
[2024-11-03T15:43:18.336680-0700]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     50 KB-cwnd
[2024-11-03T15:43:18.337174-0700]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     50 KB-cwnd
[2024-11-03T15:43:19.243079-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     5 retrans     33 KB-cwnd
[2024-11-03T15:43:19.243625-0700]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans     33 KB-cwnd
[2024-11-03T15:43:20.811151-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     2 retrans     36 KB-cwnd
[2024-11-03T15:43:20.811463-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     36 KB-cwnd
[2024-11-03T15:43:20.811561-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     36 KB-cwnd
[2024-11-03T15:43:21.881289-0700]     0.2500 MB /   0.50 sec =    4.1942 Mbps     6 retrans     32 KB-cwnd
[2024-11-03T15:43:21.881724-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     32 KB-cwnd
[2024-11-03T15:43:23.247098-0700]     0.2500 MB /   0.50 sec =    4.1944 Mbps     8 retrans     25 KB-cwnd
[2024-11-03T15:43:23.247656-0700]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans     25 KB-cwnd
[2024-11-03T15:43:23.247801-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     25 KB-cwnd
[2024-11-03T15:43:24.615405-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     73 KB-cwnd
[2024-11-03T15:43:24.615883-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     73 KB-cwnd
[2024-11-03T15:43:25.374348-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     4 retrans     43 KB-cwnd
[2024-11-03T15:43:25.374803-0700]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans     43 KB-cwnd
[2024-11-03T15:43:26.367066-0700]     0.3125 MB /   0.50 sec =    5.2426 Mbps     1 retrans     41 KB-cwnd
[2024-11-03T15:43:26.367662-0700]     0.3125 MB /   0.50 sec =    5.2432 Mbps     0 retrans     41 KB-cwnd
[2024-11-03T15:43:27.827364-0700]     0.2500 MB /   0.50 sec =    4.1943 Mbps     4 retrans     31 KB-cwnd
[2024-11-03T15:43:27.827544-0700]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans     31 KB-cwnd
[2024-11-03T15:43:27.827578-0700]     0.1875 MB /   0.50 sec =    3.1457 Mbps     0 retrans     31 KB-cwnd
