Start time: 1731108783993
[2024-11-08T18:33:05.029349-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T18:33:05.030459-0500] nuttcp-r: buflen=65536, nstream=1, port=5379 tcp
[2024-11-08T18:33:05.030525-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T18:33:05.030565-0500] nuttcp-r: connect to 54.197.223.49 with RTT=71.724 ms af=inet
[2024-11-08T18:33:05.030606-0500] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-08T18:33:05.030643-0500] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-08T18:33:27.029808-0500]    56.3125 MB /   0.50 sec =  943.9948 Mbps     0 retrans  21078 KB-cwnd
[2024-11-08T18:33:27.529330-0500]    55.6250 MB /   0.50 sec =  934.1238 Mbps     0 retrans  20166 KB-cwnd
[2024-11-08T18:33:28.029264-0500]    49.7500 MB /   0.50 sec =  834.7032 Mbps     0 retrans  20166 KB-cwnd
[2024-11-08T18:33:28.529648-0500]    47.1875 MB /   0.50 sec =  791.1100 Mbps     0 retrans  18840 KB-cwnd
[2024-11-08T18:33:29.030252-0500]    61.2500 MB /   0.50 sec = 1027.4031 Mbps     0 retrans  19594 KB-cwnd
[2024-11-08T18:33:29.529571-0500]    57.1250 MB /   0.50 sec =  959.3386 Mbps     0 retrans  19253 KB-cwnd
[2024-11-08T18:33:30.029294-0500]    61.6875 MB /   0.50 sec = 1034.8534 Mbps     0 retrans  19255 KB-cwnd
[2024-11-08T18:33:30.529235-0500]    57.6875 MB /   0.50 sec =  967.8511 Mbps     0 retrans  19527 KB-cwnd
[2024-11-08T18:33:31.029792-0500]    46.8125 MB /   0.50 sec =  784.6443 Mbps     0 retrans  17532 KB-cwnd
[2024-11-08T18:33:31.529603-0500]    60.1875 MB /   0.50 sec = 1010.7875 Mbps     0 retrans  18115 KB-cwnd
[2024-11-08T18:33:32.029090-0500]    49.7500 MB /   0.50 sec =  834.7416 Mbps     0 retrans  18115 KB-cwnd
[2024-11-08T18:33:32.529796-0500]    60.5000 MB /   0.50 sec = 1013.9063 Mbps     0 retrans  19863 KB-cwnd
[2024-11-08T18:33:33.029319-0500]    23.4375 MB /   0.50 sec =  393.5576 Mbps     0 retrans  19863 KB-cwnd
[2024-11-08T18:33:33.529673-0500]    56.4375 MB /   0.50 sec =  946.6862 Mbps     0 retrans  17460 KB-cwnd
[2024-11-08T18:33:34.029715-0500]    59.9375 MB /   0.50 sec = 1005.0276 Mbps     0 retrans  17620 KB-cwnd
[2024-11-08T18:33:34.529343-0500]    54.6875 MB /   0.50 sec =  918.0934 Mbps     0 retrans  16309 KB-cwnd
[2024-11-08T18:33:35.029332-0500]    54.9375 MB /   0.50 sec =  921.8458 Mbps     0 retrans  16309 KB-cwnd
[2024-11-08T18:33:35.529441-0500]    49.7500 MB /   0.50 sec =  834.5163 Mbps     0 retrans  18504 KB-cwnd
[2024-11-08T18:33:36.030060-0500]    42.9375 MB /   0.50 sec =  719.6147 Mbps     0 retrans  19077 KB-cwnd
[2024-11-08T18:33:36.529677-0500]    40.8750 MB /   0.50 sec =  686.0857 Mbps     0 retrans  19077 KB-cwnd
[2024-11-08T18:33:37.029619-0500]    37.9375 MB /   0.50 sec =  636.5264 Mbps     0 retrans  17681 KB-cwnd
[2024-11-08T18:33:37.529227-0500]    50.1250 MB /   0.50 sec =  841.6279 Mbps     0 retrans  17681 KB-cwnd
[2024-11-08T18:33:38.029208-0500]    42.1250 MB /   0.50 sec =  706.7529 Mbps     0 retrans  18416 KB-cwnd
[2024-11-08T18:33:38.529456-0500]    37.1875 MB /   0.50 sec =  623.6944 Mbps     0 retrans  18416 KB-cwnd
[2024-11-08T18:33:39.029740-0500]    44.9375 MB /   0.50 sec =  753.4229 Mbps     0 retrans  16029 KB-cwnd
[2024-11-08T18:33:39.529249-0500]    44.9375 MB /   0.50 sec =  754.6657 Mbps     0 retrans  17422 KB-cwnd
[2024-11-08T18:33:40.029215-0500]    39.4375 MB /   0.50 sec =  661.6554 Mbps     0 retrans  17422 KB-cwnd
[2024-11-08T18:33:40.529340-0500]    43.7500 MB /   0.50 sec =  733.8608 Mbps     0 retrans  15885 KB-cwnd
[2024-11-08T18:33:41.029223-0500]    41.3750 MB /   0.50 sec =  694.2753 Mbps     0 retrans  15885 KB-cwnd
[2024-11-08T18:33:41.529372-0500]    28.5000 MB /   0.50 sec =  478.0426 Mbps     0 retrans  16517 KB-cwnd
[2024-11-08T18:33:42.029255-0500]    32.4375 MB /   0.50 sec =  544.3220 Mbps     0 retrans  16517 KB-cwnd
[2024-11-08T18:33:42.529364-0500]    20.9375 MB /   0.50 sec =  351.2428 Mbps     0 retrans  16517 KB-cwnd
[2024-11-08T18:33:43.029256-0500]    17.6875 MB /   0.50 sec =  296.7838 Mbps     0 retrans  14457 KB-cwnd
[2024-11-08T18:33:43.529101-0500]    26.4375 MB /   0.50 sec =  443.5849 Mbps     0 retrans  14457 KB-cwnd
[2024-11-08T18:33:44.030182-0500]    23.2500 MB /   0.50 sec =  389.5957 Mbps     0 retrans  14457 KB-cwnd
[2024-11-08T18:33:44.529708-0500]    28.1875 MB /   0.50 sec =  473.0090 Mbps     0 retrans  15635 KB-cwnd
[2024-11-08T18:33:45.029457-0500]    19.8125 MB /   0.50 sec =  332.5808 Mbps     0 retrans  15635 KB-cwnd
[2024-11-08T18:33:45.530458-0500]    23.1875 MB /   0.50 sec =  388.3436 Mbps     0 retrans  15635 KB-cwnd
[2024-11-08T18:33:46.029273-0500]    27.0625 MB /   0.50 sec =  454.9798 Mbps     5 retrans  11559 KB-cwnd
[2024-11-08T18:33:46.530331-0500]    12.5625 MB /   0.50 sec =  210.3196 Mbps     0 retrans  11559 KB-cwnd
[2024-11-08T18:33:47.029296-0500]    26.5000 MB /   0.50 sec =  445.4908 Mbps     0 retrans  11559 KB-cwnd
[2024-11-08T18:33:47.529261-0500]    21.8750 MB /   0.50 sec =  367.0089 Mbps     3 retrans   8674 KB-cwnd
[2024-11-08T18:33:48.029510-0500]    13.1250 MB /   0.50 sec =  220.1323 Mbps     0 retrans   8674 KB-cwnd
[2024-11-08T18:33:48.530835-0500]    22.3750 MB /   0.50 sec =  374.4078 Mbps     0 retrans   8674 KB-cwnd
[2024-11-08T18:33:49.029263-0500]    14.0000 MB /   0.50 sec =  235.5878 Mbps     0 retrans   8674 KB-cwnd
[2024-11-08T18:33:49.529288-0500]    16.2500 MB /   0.50 sec =  272.6636 Mbps     0 retrans   8623 KB-cwnd
[2024-11-08T18:33:50.029414-0500]     9.4375 MB /   0.50 sec =  158.2818 Mbps     3 retrans   8455 KB-cwnd
[2024-11-08T18:33:50.530879-0500]     7.6875 MB /   0.50 sec =  128.7385 Mbps     0 retrans   8455 KB-cwnd
[2024-11-08T18:33:51.029422-0500]    12.1250 MB /   0.50 sec =  203.7791 Mbps     0 retrans   8455 KB-cwnd
[2024-11-08T18:33:51.530452-0500]     8.8750 MB /   0.50 sec =  148.6021 Mbps     0 retrans   8455 KB-cwnd
[2024-11-08T18:33:52.030298-0500]     2.7500 MB /   0.50 sec =   46.1481 Mbps     0 retrans   8455 KB-cwnd
[2024-11-08T18:33:52.529183-0500]     6.4375 MB /   0.50 sec =  108.2358 Mbps     0 retrans   8455 KB-cwnd
[2024-11-08T18:33:53.030263-0500]     6.7500 MB /   0.50 sec =  113.0114 Mbps     0 retrans   8455 KB-cwnd
[2024-11-08T18:33:53.529120-0500]     7.8750 MB /   0.50 sec =  132.4007 Mbps     0 retrans   8455 KB-cwnd
[2024-11-08T18:33:54.029207-0500]     9.0625 MB /   0.50 sec =  152.0365 Mbps     0 retrans   8455 KB-cwnd
[2024-11-08T18:33:54.529252-0500]     9.3125 MB /   0.50 sec =  156.2256 Mbps     2 retrans   7462 KB-cwnd
[2024-11-08T18:33:55.029423-0500]     9.1250 MB /   0.50 sec =  153.1013 Mbps     0 retrans   7462 KB-cwnd
[2024-11-08T18:33:55.529678-0500]     8.8750 MB /   0.50 sec =  148.8996 Mbps     0 retrans   7462 KB-cwnd
[2024-11-08T18:33:56.029251-0500]     8.4375 MB /   0.50 sec =  141.5476 Mbps     0 retrans   7462 KB-cwnd
[2024-11-08T18:33:56.529237-0500]     9.1250 MB /   0.50 sec =  153.1025 Mbps     0 retrans   7462 KB-cwnd
[2024-11-08T18:33:57.029391-0500]    11.0000 MB /   0.50 sec =  184.5619 Mbps     0 retrans   7462 KB-cwnd
