Start time: 1730501247502
[2024-11-01T15:47:28.525162-0700] nuttcp-t: v8.1.4: socket
[2024-11-01T15:47:28.525827-0700] nuttcp-t: buflen=65536, nstream=1, port=5102 tcp -> 54.176.53.206
[2024-11-01T15:47:28.525876-0700] nuttcp-t: time limit = 120.00 seconds
[2024-11-01T15:47:28.525913-0700] nuttcp-t: connect to 54.176.53.206 with mss=1378, RTT=33.254 ms af=inet
[2024-11-01T15:47:28.525946-0700] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-01T15:47:28.525979-0700] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-01T15:47:28.526014-0700] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-01T15:47:28.526046-0700] nuttcp-r: v6.1.2: socket
[2024-11-01T15:47:28.526076-0700] nuttcp-r: buflen=65536, nstream=1, port=5102 tcp
[2024-11-01T15:47:28.526108-0700] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-01T15:47:28.526139-0700] nuttcp-r: accept from 166.196.78.1
[2024-11-01T15:47:28.526170-0700] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-01T15:47:28.526201-0700] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-01T15:47:28.526233-0700]     0.4375 MB /   0.50 sec =    7.3399 Mbps     9 retrans     96 KB-cwnd
[2024-11-01T15:47:28.984307-0700]     0.6875 MB /   0.50 sec =   11.5342 Mbps     0 retrans    100 KB-cwnd
[2024-11-01T15:47:29.439837-0700]     0.8125 MB /   0.50 sec =   13.6313 Mbps     0 retrans    104 KB-cwnd
[2024-11-01T15:47:29.978643-0700]     1.0625 MB /   0.50 sec =   17.8263 Mbps     0 retrans    351 KB-cwnd
[2024-11-01T15:47:30.672586-0700]     1.2500 MB /   0.50 sec =   20.9705 Mbps    65 retrans    396 KB-cwnd
[2024-11-01T15:47:31.388094-0700]     0.6250 MB /   0.50 sec =   10.4852 Mbps     0 retrans    462 KB-cwnd
[2024-11-01T15:47:31.388516-0700]     0.6875 MB /   0.50 sec =   11.5355 Mbps     0 retrans    462 KB-cwnd
[2024-11-01T15:47:31.990915-0700]     0.8750 MB /   0.50 sec =   14.6795 Mbps     0 retrans    485 KB-cwnd
[2024-11-01T15:47:32.507309-0700]     0.3750 MB /   0.50 sec =    6.2913 Mbps    11 retrans    410 KB-cwnd
[2024-11-01T15:47:33.087408-0700]     2.0625 MB /   0.50 sec =   34.6040 Mbps     0 retrans    429 KB-cwnd
[2024-11-01T15:47:33.362273-0700]     1.7500 MB /   0.50 sec =   29.3608 Mbps     0 retrans    431 KB-cwnd
[2024-11-01T15:47:33.901915-0700]     1.9375 MB /   0.50 sec =   32.5061 Mbps     0 retrans    436 KB-cwnd
[2024-11-01T15:47:34.371534-0700]     2.1250 MB /   0.50 sec =   35.6513 Mbps     0 retrans    438 KB-cwnd
[2024-11-01T15:47:34.914585-0700]     1.7500 MB /   0.50 sec =   29.3595 Mbps     0 retrans    452 KB-cwnd
[2024-11-01T15:47:35.584681-0700]     2.1250 MB /   0.50 sec =   35.6514 Mbps     0 retrans    733 KB-cwnd
[2024-11-01T15:47:35.861135-0700]     2.0000 MB /   0.50 sec =   33.5540 Mbps     0 retrans    803 KB-cwnd
[2024-11-01T15:47:36.755778-0700]     1.9375 MB /   0.50 sec =   32.5073 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:37.220919-0700]     1.6250 MB /   0.50 sec =   27.2627 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:37.698876-0700]     2.0000 MB /   0.50 sec =   33.5544 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:38.181878-0700]     1.7500 MB /   0.50 sec =   29.3592 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:38.619711-0700]     1.9375 MB /   0.50 sec =   32.5070 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:38.965757-0700]     2.1250 MB /   0.50 sec =   35.6510 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:39.819853-0700]     2.5625 MB /   0.50 sec =   42.9924 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:40.403095-0700]     1.6875 MB /   0.50 sec =   28.3116 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:40.403650-0700]     1.5000 MB /   0.50 sec =   25.1657 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:40.908217-0700]     1.6875 MB /   0.50 sec =   28.3113 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:41.415790-0700]     1.7500 MB /   0.50 sec =   29.3604 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:41.848925-0700]     1.8750 MB /   0.50 sec =   31.4570 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:42.758286-0700]     2.0625 MB /   0.50 sec =   34.6027 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:43.205646-0700]     1.8750 MB /   0.50 sec =   31.4580 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:43.619973-0700]     1.8750 MB /   0.50 sec =   31.4572 Mbps     0 retrans    838 KB-cwnd
[2024-11-01T15:47:43.913760-0700]     2.3125 MB /   0.50 sec =   38.7974 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:44.458014-0700]     1.8125 MB /   0.50 sec =   30.4071 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:44.989986-0700]     1.6875 MB /   0.50 sec =   28.3130 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:45.533733-0700]     1.9375 MB /   0.50 sec =   32.5051 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:46.053681-0700]     1.8125 MB /   0.50 sec =   30.4091 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:46.617763-0700]     1.7500 MB /   0.50 sec =   29.3597 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:47.217830-0700]     1.6875 MB /   0.50 sec =   28.3102 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:47.835860-0700]     1.6250 MB /   0.50 sec =   27.2652 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:47.836489-0700]     1.5000 MB /   0.50 sec =   25.1649 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:48.514407-0700]     1.6250 MB /   0.50 sec =   27.2640 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:49.145812-0700]     1.3125 MB /   0.50 sec =   22.0195 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:49.787660-0700]     1.6875 MB /   0.50 sec =   28.3114 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:50.354512-0700]     1.3750 MB /   0.50 sec =   23.0687 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:50.354968-0700]     1.6875 MB /   0.50 sec =   28.3118 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:51.002114-0700]     1.5625 MB /   0.50 sec =   26.2134 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:51.494109-0700]     1.6875 MB /   0.50 sec =   28.3132 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:52.062722-0700]     1.7500 MB /   0.50 sec =   29.3600 Mbps     0 retrans    928 KB-cwnd
[2024-11-01T15:47:52.855808-0700]     1.3125 MB /   0.50 sec =   22.0193 Mbps     1 retrans    741 KB-cwnd
[2024-11-01T15:47:52.856357-0700]     1.3750 MB /   0.50 sec =   23.0695 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:53.598718-0700]     1.0625 MB /   0.50 sec =   17.8256 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:54.299814-0700]     1.4375 MB /   0.50 sec =   24.1172 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:54.789658-0700]     1.4375 MB /   0.50 sec =   24.1174 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:55.529795-0700]     1.9375 MB /   0.50 sec =   32.5057 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:55.530335-0700]     1.3750 MB /   0.50 sec =   23.0685 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:56.231762-0700]     1.3125 MB /   0.50 sec =   22.0204 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:56.939868-0700]     1.3750 MB /   0.50 sec =   23.0688 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:56.940408-0700]     1.3125 MB /   0.50 sec =   22.0201 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:57.697618-0700]     1.3750 MB /   0.50 sec =   23.0684 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:58.501859-0700]     1.1875 MB /   0.50 sec =   19.9230 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:58.502344-0700]     1.2500 MB /   0.50 sec =   20.9719 Mbps     0 retrans    741 KB-cwnd
[2024-11-01T15:47:59.143801-0700]     1.1250 MB /   0.50 sec =   18.8741 Mbps     0 retrans    767 KB-cwnd
[2024-11-01T15:47:59.746744-0700]     1.7500 MB /   0.50 sec =   29.3598 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:00.301204-0700]     1.6250 MB /   0.50 sec =   27.2632 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:00.857859-0700]     1.7500 MB /   0.50 sec =   29.3605 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:00.858406-0700]     1.6875 MB /   0.50 sec =   28.3114 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:01.423746-0700]     1.5000 MB /   0.50 sec =   25.1658 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:01.961731-0700]     2.0000 MB /   0.50 sec =   33.5538 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:02.545763-0700]     1.5625 MB /   0.50 sec =   26.2150 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:03.228717-0700]     1.5625 MB /   0.50 sec =   26.2142 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:03.819015-0700]     1.3750 MB /   0.50 sec =   23.0687 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:04.537628-0700]     1.6250 MB /   0.50 sec =   27.2630 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:04.538100-0700]     1.2500 MB /   0.50 sec =   20.9704 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:05.134504-0700]     1.6875 MB /   0.50 sec =   28.3131 Mbps     0 retrans    827 KB-cwnd
[2024-11-01T15:48:05.854959-0700]     1.5000 MB /   0.50 sec =   25.1639 Mbps     0 retrans    834 KB-cwnd
[2024-11-01T15:48:05.855727-0700]     1.2500 MB /   0.50 sec =   20.9716 Mbps     0 retrans    834 KB-cwnd
[2024-11-01T15:48:06.782245-0700]     2.1250 MB /   0.50 sec =   35.6538 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:07.239901-0700]     2.0625 MB /   0.50 sec =   34.6026 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:07.632872-0700]     2.0000 MB /   0.50 sec =   33.5555 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:08.012147-0700]     2.5625 MB /   0.50 sec =   42.9889 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:08.364864-0700]     2.7500 MB /   0.50 sec =   46.1373 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:09.054898-0700]     2.7500 MB /   0.50 sec =   46.1396 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:09.447627-0700]     2.6250 MB /   0.50 sec =   44.0399 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:10.168124-0700]     2.5625 MB /   0.50 sec =   42.9903 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:10.607755-0700]     2.6250 MB /   0.50 sec =   44.0412 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:11.121308-0700]     1.9375 MB /   0.50 sec =   32.5059 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:11.646373-0700]     1.8750 MB /   0.50 sec =   31.4582 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:12.208339-0700]     1.8750 MB /   0.50 sec =   31.4561 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:12.799530-0700]     1.5625 MB /   0.50 sec =   26.2133 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:13.508976-0700]     1.7500 MB /   0.50 sec =   29.3621 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:13.509425-0700]     1.2500 MB /   0.50 sec =   20.9703 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:14.281958-0700]     1.3750 MB /   0.50 sec =   23.0700 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:14.938578-0700]     1.2500 MB /   0.50 sec =   20.9716 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:14.939047-0700]     1.5000 MB /   0.50 sec =   25.1658 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:15.618701-0700]     1.3125 MB /   0.50 sec =   22.0193 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:16.233828-0700]     1.4375 MB /   0.50 sec =   24.1184 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:16.881167-0700]     1.6250 MB /   0.50 sec =   27.2622 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:16.881542-0700]     1.6250 MB /   0.50 sec =   27.2635 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:17.458225-0700]     1.6250 MB /   0.50 sec =   27.2631 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:18.044577-0700]     1.5625 MB /   0.50 sec =   26.2144 Mbps     0 retrans    909 KB-cwnd
[2024-11-01T15:48:18.657987-0700]     1.7500 MB /   0.50 sec =   29.3578 Mbps     1 retrans    787 KB-cwnd
[2024-11-01T15:48:19.301951-0700]     1.3750 MB /   0.50 sec =   23.0701 Mbps     0 retrans    787 KB-cwnd
[2024-11-01T15:48:19.805968-0700]     1.6875 MB /   0.50 sec =   28.3121 Mbps     0 retrans    787 KB-cwnd
[2024-11-01T15:48:20.299880-0700]     1.8125 MB /   0.50 sec =   30.4087 Mbps     0 retrans    787 KB-cwnd
[2024-11-01T15:48:20.732939-0700]     2.0000 MB /   0.50 sec =   33.5536 Mbps     0 retrans    787 KB-cwnd
[2024-11-01T15:48:21.269912-0700]     2.2500 MB /   0.50 sec =   37.7481 Mbps     0 retrans    787 KB-cwnd
[2024-11-01T15:48:21.785917-0700]     1.7500 MB /   0.50 sec =   29.3611 Mbps     0 retrans    787 KB-cwnd
[2024-11-01T15:48:22.364691-0700]     1.7500 MB /   0.50 sec =   29.3602 Mbps    14 retrans    682 KB-cwnd
[2024-11-01T15:48:22.365202-0700]     1.6250 MB /   0.50 sec =   27.2634 Mbps     0 retrans    682 KB-cwnd
[2024-11-01T15:48:23.209040-0700]     2.2500 MB /   0.50 sec =   37.7477 Mbps     0 retrans    702 KB-cwnd
[2024-11-01T15:48:23.615684-0700]     2.3125 MB /   0.50 sec =   38.7968 Mbps     0 retrans    706 KB-cwnd
[2024-11-01T15:48:24.037778-0700]     2.3750 MB /   0.50 sec =   39.8454 Mbps     0 retrans    710 KB-cwnd
[2024-11-01T15:48:24.461615-0700]     2.2500 MB /   0.50 sec =   37.7497 Mbps     0 retrans    745 KB-cwnd
[2024-11-01T15:48:25.107890-0700]     2.8125 MB /   0.50 sec =   47.1871 Mbps     0 retrans    963 KB-cwnd
[2024-11-01T15:48:25.405473-0700]     3.1875 MB /   0.50 sec =   53.4763 Mbps     0 retrans    963 KB-cwnd
[2024-11-01T15:48:26.163701-0700]     2.8125 MB /   0.50 sec =   47.1857 Mbps     0 retrans    963 KB-cwnd
[2024-11-01T15:48:26.431553-0700]     2.5000 MB /   0.50 sec =   41.9439 Mbps     0 retrans   1099 KB-cwnd
[2024-11-01T15:48:27.004726-0700]     3.8750 MB /   0.50 sec =   65.0046 Mbps     0 retrans   1110 KB-cwnd
[2024-11-01T15:48:27.597627-0700]     3.8750 MB /   0.50 sec =   65.0163 Mbps     0 retrans   1110 KB-cwnd
[2024-11-01T15:48:27.869177-0700]     4.1250 MB /   0.50 sec =   69.2046 Mbps     0 retrans   1110 KB-cwnd
[2024-11-01T15:48:28.375104-0700]     4.4375 MB /   0.50 sec =   74.4514 Mbps     0 retrans   1110 KB-cwnd
