Start time: 1731002279303
[2024-11-07T12:57:59.572] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-07T12:57:59.572] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-07T12:57:59.638] - client - INFO - 46 bytes from 54.197.223.49: time=65.49 ms
[2024-11-07T12:57:59.913] - client - INFO - 46 bytes from 54.197.223.49: time=74.20 ms
[2024-11-07T12:58:00.181] - client - INFO - 46 bytes from 54.197.223.49: time=67.05 ms
[2024-11-07T12:58:00.454] - client - INFO - 46 bytes from 54.197.223.49: time=72.27 ms
[2024-11-07T12:58:00.719] - client - INFO - 46 bytes from 54.197.223.49: time=62.71 ms
[2024-11-07T12:58:00.983] - client - INFO - 46 bytes from 54.197.223.49: time=63.52 ms
[2024-11-07T12:58:01.247] - client - INFO - 46 bytes from 54.197.223.49: time=61.24 ms
[2024-11-07T12:58:01.507] - client - INFO - 46 bytes from 54.197.223.49: time=59.95 ms
[2024-11-07T12:58:01.770] - client - INFO - 46 bytes from 54.197.223.49: time=61.46 ms
[2024-11-07T12:58:02.038] - client - INFO - 46 bytes from 54.197.223.49: time=66.22 ms
[2024-11-07T12:58:02.298] - client - INFO - 46 bytes from 54.197.223.49: time=58.62 ms
[2024-11-07T12:58:02.558] - client - INFO - 46 bytes from 54.197.223.49: time=58.40 ms
[2024-11-07T12:58:02.823] - client - INFO - 46 bytes from 54.197.223.49: time=61.91 ms
[2024-11-07T12:58:03.105] - client - INFO - 46 bytes from 54.197.223.49: time=80.73 ms
[2024-11-07T12:58:03.363] - client - INFO - 46 bytes from 54.197.223.49: time=57.54 ms
[2024-11-07T12:58:03.625] - client - INFO - 46 bytes from 54.197.223.49: time=59.57 ms
[2024-11-07T12:58:03.883] - client - INFO - 46 bytes from 54.197.223.49: time=57.19 ms
[2024-11-07T12:58:04.145] - client - INFO - 46 bytes from 54.197.223.49: time=61.04 ms
[2024-11-07T12:58:04.409] - client - INFO - 46 bytes from 54.197.223.49: time=61.89 ms
[2024-11-07T12:58:04.669] - client - INFO - 46 bytes from 54.197.223.49: time=58.70 ms
[2024-11-07T12:58:04.929] - client - INFO - 46 bytes from 54.197.223.49: time=59.07 ms
[2024-11-07T12:58:05.197] - client - INFO - 46 bytes from 54.197.223.49: time=66.04 ms
[2024-11-07T12:58:05.469] - client - INFO - 46 bytes from 54.197.223.49: time=70.82 ms
[2024-11-07T12:58:05.739] - client - INFO - 46 bytes from 54.197.223.49: time=69.11 ms
[2024-11-07T12:58:05.998] - client - INFO - 46 bytes from 54.197.223.49: time=58.68 ms
[2024-11-07T12:58:06.265] - client - INFO - 46 bytes from 54.197.223.49: time=65.76 ms
[2024-11-07T12:58:06.529] - client - INFO - 46 bytes from 54.197.223.49: time=62.11 ms
[2024-11-07T12:58:06.793] - client - INFO - 46 bytes from 54.197.223.49: time=61.90 ms
[2024-11-07T12:58:07.065] - client - INFO - 46 bytes from 54.197.223.49: time=70.57 ms
[2024-11-07T12:58:07.329] - client - INFO - 46 bytes from 54.197.223.49: time=61.47 ms
[2024-11-07T12:58:07.599] - client - INFO - 46 bytes from 54.197.223.49: time=70.31 ms
[2024-11-07T12:58:07.863] - client - INFO - 46 bytes from 54.197.223.49: time=62.13 ms
[2024-11-07T12:58:08.125] - client - INFO - 46 bytes from 54.197.223.49: time=60.30 ms
[2024-11-07T12:58:08.389] - client - INFO - 46 bytes from 54.197.223.49: time=63.27 ms
[2024-11-07T12:58:08.660] - client - INFO - 46 bytes from 54.197.223.49: time=70.73 ms
[2024-11-07T12:58:08.929] - client - INFO - 46 bytes from 54.197.223.49: time=67.68 ms
[2024-11-07T12:58:09.188] - client - INFO - 46 bytes from 54.197.223.49: time=58.00 ms
[2024-11-07T12:58:09.446] - client - INFO - 46 bytes from 54.197.223.49: time=57.07 ms
[2024-11-07T12:58:09.722] - client - INFO - 46 bytes from 54.197.223.49: time=73.88 ms
[2024-11-07T12:58:10.005] - client - INFO - 46 bytes from 54.197.223.49: time=81.27 ms
[2024-11-07T12:58:10.265] - client - INFO - 46 bytes from 54.197.223.49: time=59.45 ms
[2024-11-07T12:58:10.524] - client - INFO - 46 bytes from 54.197.223.49: time=57.67 ms
[2024-11-07T12:58:10.794] - client - INFO - 46 bytes from 54.197.223.49: time=68.44 ms
[2024-11-07T12:58:11.056] - client - INFO - 46 bytes from 54.197.223.49: time=61.45 ms
[2024-11-07T12:58:11.318] - client - INFO - 46 bytes from 54.197.223.49: time=59.75 ms
[2024-11-07T12:58:11.578] - client - INFO - 46 bytes from 54.197.223.49: time=57.79 ms
[2024-11-07T12:58:11.838] - client - INFO - 46 bytes from 54.197.223.49: time=59.32 ms
[2024-11-07T12:58:12.103] - client - INFO - 46 bytes from 54.197.223.49: time=62.95 ms
[2024-11-07T12:58:12.385] - client - INFO - 46 bytes from 54.197.223.49: time=81.27 ms
[2024-11-07T12:58:12.649] - client - INFO - 46 bytes from 54.197.223.49: time=63.11 ms
[2024-11-07T12:58:12.912] - client - INFO - 46 bytes from 54.197.223.49: time=61.82 ms
[2024-11-07T12:58:13.175] - client - INFO - 46 bytes from 54.197.223.49: time=61.19 ms
[2024-11-07T12:58:13.431] - client - INFO - 46 bytes from 54.197.223.49: time=55.66 ms
[2024-11-07T12:58:13.702] - client - INFO - 46 bytes from 54.197.223.49: time=69.42 ms
[2024-11-07T12:58:13.974] - client - INFO - 46 bytes from 54.197.223.49: time=69.75 ms
[2024-11-07T12:58:14.232] - client - INFO - 46 bytes from 54.197.223.49: time=57.52 ms
[2024-11-07T12:58:14.501] - client - INFO - 46 bytes from 54.197.223.49: time=68.10 ms
[2024-11-07T12:58:14.762] - client - INFO - 46 bytes from 54.197.223.49: time=59.68 ms
