Start time: 1730933399589
[2024-11-06T17:50:00.699066-0500] nuttcp-t: v8.1.4: socket
[2024-11-06T17:50:00.699579-0500] nuttcp-t: buflen=65536, nstream=1, port=5102 tcp -> 54.197.223.49
[2024-11-06T17:50:00.699629-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-06T17:50:00.699666-0500] nuttcp-t: connect to 54.197.223.49 with mss=1358, RTT=77.234 ms af=inet
[2024-11-06T17:50:00.699702-0500] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-06T17:50:00.699736-0500] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-06T17:50:00.699770-0500] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-06T17:50:00.699804-0500] nuttcp-r: v8.1.4: socket
[2024-11-06T17:50:00.699837-0500] nuttcp-r: buflen=65536, nstream=1, port=5102 tcp
[2024-11-06T17:50:00.699871-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-06T17:50:00.699903-0500] nuttcp-r: accept from 166.196.113.1 with af=inet
[2024-11-06T17:50:00.699936-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-06T17:50:00.699970-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-06T17:50:00.700010-0500]     0.5625 MB /   0.50 sec =    9.4367 Mbps     0 retrans   1335 KB-cwnd
[2024-11-06T17:50:01.140623-0500]     3.5625 MB /   0.50 sec =   59.7685 Mbps     0 retrans   3166 KB-cwnd
[2024-11-06T17:50:01.838223-0500]     3.8125 MB /   0.50 sec =   63.9613 Mbps     0 retrans   3166 KB-cwnd
[2024-11-06T17:50:02.164330-0500]     4.0000 MB /   0.50 sec =   67.0991 Mbps     0 retrans   3166 KB-cwnd
[2024-11-06T17:50:02.820419-0500]     4.0625 MB /   0.50 sec =   68.1682 Mbps     0 retrans   3166 KB-cwnd
[2024-11-06T17:50:03.183930-0500]     4.1250 MB /   0.50 sec =   69.2075 Mbps     0 retrans   3999 KB-cwnd
[2024-11-06T17:50:03.895328-0500]     3.9375 MB /   0.50 sec =   66.0586 Mbps     0 retrans   4003 KB-cwnd
[2024-11-06T17:50:04.254732-0500]     3.9375 MB /   0.50 sec =   66.0615 Mbps     0 retrans   4003 KB-cwnd
[2024-11-06T17:50:04.608555-0500]     3.5000 MB /   0.50 sec =   58.7055 Mbps     0 retrans   4003 KB-cwnd
[2024-11-06T17:50:05.305198-0500]     3.8750 MB /   0.50 sec =   65.0290 Mbps     0 retrans   4003 KB-cwnd
[2024-11-06T17:50:05.662535-0500]     3.6875 MB /   0.50 sec =   61.8660 Mbps     0 retrans   4003 KB-cwnd
[2024-11-06T17:50:06.112561-0500]     3.2500 MB /   0.50 sec =   54.5239 Mbps     0 retrans   4003 KB-cwnd
[2024-11-06T17:50:06.884395-0500]     3.3750 MB /   0.50 sec =   56.6234 Mbps     0 retrans   4003 KB-cwnd
