Start time: 1731103081591
[2024-11-08T16:58:01.782] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-08T16:58:01.782] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-08T16:58:01.811] - client - INFO - 46 bytes from 54.197.223.49: time=29.29 ms
[2024-11-08T16:58:02.047] - client - INFO - 46 bytes from 54.197.223.49: time=33.52 ms
[2024-11-08T16:58:02.284] - client - INFO - 46 bytes from 54.197.223.49: time=36.22 ms
[2024-11-08T16:58:02.515] - client - INFO - 46 bytes from 54.197.223.49: time=30.80 ms
[2024-11-08T16:58:02.747] - client - INFO - 46 bytes from 54.197.223.49: time=30.61 ms
[2024-11-08T16:58:02.982] - client - INFO - 46 bytes from 54.197.223.49: time=33.24 ms
[2024-11-08T16:58:03.211] - client - INFO - 46 bytes from 54.197.223.49: time=27.52 ms
[2024-11-08T16:58:03.444] - client - INFO - 46 bytes from 54.197.223.49: time=32.22 ms
[2024-11-08T16:58:03.676] - client - INFO - 46 bytes from 54.197.223.49: time=31.69 ms
[2024-11-08T16:58:03.908] - client - INFO - 46 bytes from 54.197.223.49: time=30.49 ms
[2024-11-08T16:58:04.140] - client - INFO - 46 bytes from 54.197.223.49: time=31.50 ms
[2024-11-08T16:58:04.373] - client - INFO - 46 bytes from 54.197.223.49: time=31.47 ms
[2024-11-08T16:58:04.605] - client - INFO - 46 bytes from 54.197.223.49: time=30.78 ms
[2024-11-08T16:58:04.833] - client - INFO - 46 bytes from 54.197.223.49: time=28.24 ms
[2024-11-08T16:58:05.076] - client - INFO - 46 bytes from 54.197.223.49: time=39.87 ms
[2024-11-08T16:58:05.310] - client - INFO - 46 bytes from 54.197.223.49: time=32.41 ms
[2024-11-08T16:58:05.566] - client - INFO - 46 bytes from 54.197.223.49: time=55.00 ms
[2024-11-08T16:58:05.799] - client - INFO - 46 bytes from 54.197.223.49: time=32.45 ms
[2024-11-08T16:58:06.036] - client - INFO - 46 bytes from 54.197.223.49: time=36.02 ms
[2024-11-08T16:58:06.274] - client - INFO - 46 bytes from 54.197.223.49: time=37.60 ms
[2024-11-08T16:58:06.510] - client - INFO - 46 bytes from 54.197.223.49: time=34.90 ms
[2024-11-08T16:58:06.744] - client - INFO - 46 bytes from 54.197.223.49: time=33.12 ms
[2024-11-08T16:58:06.980] - client - INFO - 46 bytes from 54.197.223.49: time=35.54 ms
[2024-11-08T16:58:07.217] - client - INFO - 46 bytes from 54.197.223.49: time=35.26 ms
[2024-11-08T16:58:07.455] - client - INFO - 46 bytes from 54.197.223.49: time=36.60 ms
[2024-11-08T16:58:07.691] - client - INFO - 46 bytes from 54.197.223.49: time=35.06 ms
[2024-11-08T16:58:07.925] - client - INFO - 46 bytes from 54.197.223.49: time=33.06 ms
[2024-11-08T16:58:08.153] - client - INFO - 46 bytes from 54.197.223.49: time=27.19 ms
[2024-11-08T16:58:08.385] - client - INFO - 46 bytes from 54.197.223.49: time=31.31 ms
[2024-11-08T16:58:08.618] - client - INFO - 46 bytes from 54.197.223.49: time=30.47 ms
[2024-11-08T16:58:08.854] - client - INFO - 46 bytes from 54.197.223.49: time=34.87 ms
[2024-11-08T16:58:09.089] - client - INFO - 46 bytes from 54.197.223.49: time=34.87 ms
[2024-11-08T16:58:09.328] - client - INFO - 46 bytes from 54.197.223.49: time=36.15 ms
[2024-11-08T16:58:09.567] - client - INFO - 46 bytes from 54.197.223.49: time=38.62 ms
[2024-11-08T16:58:09.803] - client - INFO - 46 bytes from 54.197.223.49: time=34.49 ms
[2024-11-08T16:58:10.048] - client - INFO - 46 bytes from 54.197.223.49: time=43.78 ms
[2024-11-08T16:58:10.306] - client - INFO - 46 bytes from 54.197.223.49: time=57.64 ms
[2024-11-08T16:58:10.544] - client - INFO - 46 bytes from 54.197.223.49: time=36.14 ms
[2024-11-08T16:58:10.776] - client - INFO - 46 bytes from 54.197.223.49: time=31.35 ms
[2024-11-08T16:58:11.008] - client - INFO - 46 bytes from 54.197.223.49: time=29.83 ms
[2024-11-08T16:58:11.243] - client - INFO - 46 bytes from 54.197.223.49: time=34.34 ms
[2024-11-08T16:58:11.472] - client - INFO - 46 bytes from 54.197.223.49: time=27.48 ms
[2024-11-08T16:58:11.707] - client - INFO - 46 bytes from 54.197.223.49: time=34.79 ms
[2024-11-08T16:58:11.961] - client - INFO - 46 bytes from 54.197.223.49: time=52.95 ms
[2024-11-08T16:58:12.206] - client - INFO - 46 bytes from 54.197.223.49: time=44.08 ms
[2024-11-08T16:58:12.439] - client - INFO - 46 bytes from 54.197.223.49: time=31.43 ms
[2024-11-08T16:58:12.685] - client - INFO - 46 bytes from 54.197.223.49: time=44.52 ms
[2024-11-08T16:58:12.925] - client - INFO - 46 bytes from 54.197.223.49: time=38.07 ms
[2024-11-08T16:58:13.174] - client - INFO - 46 bytes from 54.197.223.49: time=46.41 ms
[2024-11-08T16:58:13.411] - client - INFO - 46 bytes from 54.197.223.49: time=34.41 ms
[2024-11-08T16:58:13.645] - client - INFO - 46 bytes from 54.197.223.49: time=33.90 ms
[2024-11-08T16:58:13.885] - client - INFO - 46 bytes from 54.197.223.49: time=37.76 ms
[2024-11-08T16:58:14.120] - client - INFO - 46 bytes from 54.197.223.49: time=33.25 ms
[2024-11-08T16:58:14.354] - client - INFO - 46 bytes from 54.197.223.49: time=32.11 ms
[2024-11-08T16:58:14.608] - client - INFO - 46 bytes from 54.197.223.49: time=52.57 ms
[2024-11-08T16:58:14.854] - client - INFO - 46 bytes from 54.197.223.49: time=43.71 ms
[2024-11-08T16:58:15.111] - client - INFO - 46 bytes from 54.197.223.49: time=55.76 ms
[2024-11-08T16:58:15.360] - client - INFO - 46 bytes from 54.197.223.49: time=46.65 ms
[2024-11-08T16:58:15.607] - client - INFO - 46 bytes from 54.197.223.49: time=45.62 ms
[2024-11-08T16:58:15.852] - client - INFO - 46 bytes from 54.197.223.49: time=44.55 ms
[2024-11-08T16:58:16.100] - client - INFO - 46 bytes from 54.197.223.49: time=47.41 ms
[2024-11-08T16:58:16.355] - client - INFO - 46 bytes from 54.197.223.49: time=53.64 ms
[2024-11-08T16:58:16.608] - client - INFO - 46 bytes from 54.197.223.49: time=52.62 ms
[2024-11-08T16:58:16.857] - client - INFO - 46 bytes from 54.197.223.49: time=47.14 ms
[2024-11-08T16:58:17.107] - client - INFO - 46 bytes from 54.197.223.49: time=47.65 ms
[2024-11-08T16:58:17.357] - client - INFO - 46 bytes from 54.197.223.49: time=48.42 ms
