Start time: 1730927821758
[2024-11-06T16:17:02.824382-0500] nuttcp-t: v8.1.4: socket
[2024-11-06T16:17:02.825298-0500] nuttcp-t: buflen=65536, nstream=1, port=5101 tcp -> 54.197.223.49
[2024-11-06T16:17:02.825406-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-06T16:17:02.825489-0500] nuttcp-t: connect to 54.197.223.49 with mss=1376, RTT=44.822 ms af=inet
[2024-11-06T16:17:02.825567-0500] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-06T16:17:02.825646-0500] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-06T16:17:02.825719-0500] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-06T16:17:02.825790-0500] nuttcp-r: v8.1.4: socket
[2024-11-06T16:17:02.825924-0500] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-06T16:17:02.825995-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-06T16:17:02.826066-0500] nuttcp-r: accept from 174.219.213.129 with af=inet
[2024-11-06T16:17:02.826214-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-06T16:17:02.826307-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-06T16:17:02.826381-0500]     0.3125 MB /   0.50 sec =    5.2427 Mbps     4 retrans     65 KB-cwnd
[2024-11-06T16:17:03.264438-0500]     0.7500 MB /   0.50 sec =   12.5827 Mbps     0 retrans    143 KB-cwnd
[2024-11-06T16:17:03.642097-0500]     2.7500 MB /   0.50 sec =   46.1374 Mbps     0 retrans   1006 KB-cwnd
[2024-11-06T16:17:04.176072-0500]     5.8750 MB /   0.50 sec =   98.3311 Mbps     0 retrans   1468 KB-cwnd
[2024-11-06T16:17:04.635167-0500]     6.1875 MB /   0.50 sec =  104.0579 Mbps     0 retrans   1537 KB-cwnd
[2024-11-06T16:17:05.344397-0500]     6.0000 MB /   0.50 sec =  100.6631 Mbps     6 retrans   1390 KB-cwnd
[2024-11-06T16:17:05.791651-0500]     5.9375 MB /   0.50 sec =   98.9687 Mbps     6 retrans   1150 KB-cwnd
[2024-11-06T16:17:06.249815-0500]     5.4375 MB /   0.50 sec =   91.8257 Mbps     0 retrans   1241 KB-cwnd
[2024-11-06T16:17:06.683315-0500]     6.3750 MB /   0.50 sec =  106.9509 Mbps    15 retrans   1107 KB-cwnd
[2024-11-06T16:17:07.367955-0500]     6.4375 MB /   0.50 sec =  108.0076 Mbps    17 retrans    795 KB-cwnd
[2024-11-06T16:17:07.806084-0500]     6.1875 MB /   0.50 sec =  103.8092 Mbps     0 retrans    890 KB-cwnd
[2024-11-06T16:17:08.235250-0500]     6.1250 MB /   0.50 sec =  102.7489 Mbps    16 retrans    888 KB-cwnd
[2024-11-06T16:17:08.657933-0500]     6.1875 MB /   0.50 sec =  103.8161 Mbps     0 retrans    921 KB-cwnd
[2024-11-06T16:17:09.156242-0500]     6.0625 MB /   0.50 sec =  101.7170 Mbps     4 retrans   1112 KB-cwnd
[2024-11-06T16:17:09.775998-0500]     7.1875 MB /   0.50 sec =  120.5809 Mbps     7 retrans   1037 KB-cwnd
[2024-11-06T16:17:10.247600-0500]     6.1875 MB /   0.50 sec =  103.8148 Mbps     7 retrans   1068 KB-cwnd
[2024-11-06T16:17:10.670684-0500]     6.1250 MB /   0.50 sec =  102.7570 Mbps     0 retrans   1080 KB-cwnd
[2024-11-06T16:17:11.227948-0500]     5.0625 MB /   0.50 sec =   84.9294 Mbps     0 retrans   1386 KB-cwnd
[2024-11-06T16:17:11.689975-0500]     6.0000 MB /   0.50 sec =  100.6713 Mbps    15 retrans   1181 KB-cwnd
[2024-11-06T16:17:12.115784-0500]     6.9375 MB /   0.50 sec =  116.3922 Mbps    27 retrans   1056 KB-cwnd
[2024-11-06T16:17:12.690497-0500]     7.0000 MB /   0.50 sec =  117.4410 Mbps    11 retrans    963 KB-cwnd
[2024-11-06T16:17:13.124842-0500]     6.5000 MB /   0.50 sec =  109.0489 Mbps     0 retrans   1390 KB-cwnd
[2024-11-06T16:17:13.753807-0500]     6.1250 MB /   0.50 sec =  102.7611 Mbps     0 retrans   1390 KB-cwnd
[2024-11-06T16:17:14.189651-0500]     6.1875 MB /   0.50 sec =  103.8117 Mbps     0 retrans   1390 KB-cwnd
[2024-11-06T16:17:14.650055-0500]     6.0000 MB /   0.50 sec =  100.6603 Mbps     0 retrans   1410 KB-cwnd
[2024-11-06T16:17:15.265974-0500]     6.5000 MB /   0.50 sec =  109.0552 Mbps     4 retrans   1381 KB-cwnd
[2024-11-06T16:17:15.623622-0500]     7.3125 MB /   0.50 sec =  122.6829 Mbps     5 retrans   1353 KB-cwnd
[2024-11-06T16:17:16.232847-0500]     7.2500 MB /   0.50 sec =  121.6331 Mbps    13 retrans    979 KB-cwnd
[2024-11-06T16:17:16.650496-0500]     6.8125 MB /   0.50 sec =  114.2968 Mbps     0 retrans   1095 KB-cwnd
