Start time: 1730849398472
[2024-11-05T17:29:58.607072-0600] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2024-11-05T17:29:58.607574-0600] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=54 time=48.8 ms
[2024-11-05T17:29:58.816592-0600] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=54 time=57.8 ms
[2024-11-05T17:29:59.004978-0600] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=54 time=45.8 ms
[2024-11-05T17:29:59.210305-0600] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=54 time=51.5 ms
[2024-11-05T17:29:59.407466-0600] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=54 time=48.6 ms
[2024-11-05T17:29:59.616729-0600] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=54 time=56.5 ms
[2024-11-05T17:29:59.808072-0600] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=54 time=46.3 ms
[2024-11-05T17:30:00.010444-0600] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=54 time=48.9 ms
[2024-11-05T17:30:00.208421-0600] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=54 time=47.1 ms
[2024-11-05T17:30:00.410241-0600] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=54 time=48.1 ms
[2024-11-05T17:30:00.607516-0600] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=54 time=44.7 ms
[2024-11-05T17:30:00.816733-0600] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=54 time=53.4 ms
[2024-11-05T17:30:01.008905-0600] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=54 time=44.5 ms
[2024-11-05T17:30:01.207567-0600] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=54 time=43.0 ms
[2024-11-05T17:30:01.407551-0600] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=54 time=42.2 ms
[2024-11-05T17:30:01.607965-0600] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=54 time=41.9 ms
[2024-11-05T17:30:01.807559-0600] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=54 time=41.0 ms
[2024-11-05T17:30:02.012121-0600] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=54 time=45.1 ms
[2024-11-05T17:30:02.208244-0600] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=54 time=41.5 ms
[2024-11-05T17:30:02.407139-0600] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=54 time=39.2 ms
[2024-11-05T17:30:02.606423-0600] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=54 time=37.7 ms
[2024-11-05T17:30:02.806135-0600] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=54 time=37.2 ms
[2024-11-05T17:30:03.015187-0600] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=54 time=45.3 ms
[2024-11-05T17:30:03.207005-0600] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=54 time=37.2 ms
[2024-11-05T17:30:03.407085-0600] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=54 time=36.4 ms
[2024-11-05T17:30:03.618245-0600] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=54 time=46.4 ms
[2024-11-05T17:30:03.818355-0600] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=54 time=45.4 ms
[2024-11-05T17:30:04.017685-0600] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=54 time=43.6 ms
[2024-11-05T17:30:04.206738-0600] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=54 time=33.3 ms
[2024-11-05T17:30:04.418234-0600] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=54 time=43.7 ms
[2024-11-05T17:30:04.618149-0600] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=54 time=43.2 ms
[2024-11-05T17:30:04.830239-0600] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=54 time=54.4 ms
[2024-11-05T17:30:05.015843-0600] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=54 time=38.9 ms
[2024-11-05T17:30:05.227031-0600] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=54 time=50.6 ms
[2024-11-05T17:30:05.428316-0600] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=54 time=50.5 ms
[2024-11-05T17:30:05.636666-0600] 46 bytes from 54.197.223.49: icmp_seq=36 ttl=54 time=57.6 ms
[2024-11-05T17:30:05.828001-0600] 46 bytes from 54.197.223.49: icmp_seq=37 ttl=54 time=48.7 ms
[2024-11-05T17:30:06.037791-0600] 46 bytes from 54.197.223.49: icmp_seq=38 ttl=54 time=58.1 ms
[2024-11-05T17:30:06.228333-0600] 46 bytes from 54.197.223.49: icmp_seq=39 ttl=54 time=48.8 ms
[2024-11-05T17:30:06.427456-0600] 46 bytes from 54.197.223.49: icmp_seq=40 ttl=54 time=47.6 ms
[2024-11-05T17:30:06.628325-0600] 46 bytes from 54.197.223.49: icmp_seq=41 ttl=54 time=47.2 ms
[2024-11-05T17:30:06.828270-0600] 46 bytes from 54.197.223.49: icmp_seq=42 ttl=54 time=46.2 ms
[2024-11-05T17:30:07.028096-0600] 46 bytes from 54.197.223.49: icmp_seq=43 ttl=54 time=45.4 ms
[2024-11-05T17:30:07.230160-0600] 46 bytes from 54.197.223.49: icmp_seq=44 ttl=54 time=47.3 ms
[2024-11-05T17:30:07.428347-0600] 46 bytes from 54.197.223.49: icmp_seq=45 ttl=54 time=44.5 ms
[2024-11-05T17:30:07.627922-0600] 46 bytes from 54.197.223.49: icmp_seq=46 ttl=54 time=43.0 ms
[2024-11-05T17:30:07.822417-0600] 46 bytes from 54.197.223.49: icmp_seq=47 ttl=54 time=36.6 ms
[2024-11-05T17:30:08.036767-0600] 46 bytes from 54.197.223.49: icmp_seq=48 ttl=54 time=50.6 ms
[2024-11-05T17:30:08.227518-0600] 46 bytes from 54.197.223.49: icmp_seq=49 ttl=54 time=42.1 ms
[2024-11-05T17:30:08.427538-0600] 46 bytes from 54.197.223.49: icmp_seq=50 ttl=54 time=41.3 ms
[2024-11-05T17:30:08.628134-0600] 46 bytes from 54.197.223.49: icmp_seq=51 ttl=54 time=41.1 ms
[2024-11-05T17:30:08.826567-0600] 46 bytes from 54.197.223.49: icmp_seq=52 ttl=54 time=38.8 ms
[2024-11-05T17:30:09.027024-0600] 46 bytes from 54.197.223.49: icmp_seq=53 ttl=54 time=38.8 ms
[2024-11-05T17:30:09.230087-0600] 46 bytes from 54.197.223.49: icmp_seq=54 ttl=54 time=42.4 ms
[2024-11-05T17:30:09.426981-0600] 46 bytes from 54.197.223.49: icmp_seq=55 ttl=54 time=38.2 ms
[2024-11-05T17:30:09.627207-0600] 46 bytes from 54.197.223.49: icmp_seq=56 ttl=54 time=37.4 ms
