Start time: 1731107262600
[2024-11-08T18:07:42.766] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-08T18:07:42.767] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-08T18:07:42.817] - client - INFO - 46 bytes from 54.197.223.49: time=49.86 ms
[2024-11-08T18:07:43.057] - client - INFO - 46 bytes from 54.197.223.49: time=39.53 ms
[2024-11-08T18:07:43.293] - client - INFO - 46 bytes from 54.197.223.49: time=34.77 ms
[2024-11-08T18:07:43.548] - client - INFO - 46 bytes from 54.197.223.49: time=54.13 ms
[2024-11-08T18:07:43.790] - client - INFO - 46 bytes from 54.197.223.49: time=41.15 ms
[2024-11-08T18:07:44.027] - client - INFO - 46 bytes from 54.197.223.49: time=36.94 ms
[2024-11-08T18:07:44.256] - client - INFO - 46 bytes from 54.197.223.49: time=28.05 ms
[2024-11-08T18:07:44.507] - client - INFO - 46 bytes from 54.197.223.49: time=47.63 ms
[2024-11-08T18:07:44.740] - client - INFO - 46 bytes from 54.197.223.49: time=31.32 ms
[2024-11-08T18:07:44.980] - client - INFO - 46 bytes from 54.197.223.49: time=38.50 ms
[2024-11-08T18:07:45.215] - client - INFO - 46 bytes from 54.197.223.49: time=34.53 ms
[2024-11-08T18:07:45.456] - client - INFO - 46 bytes from 54.197.223.49: time=39.74 ms
[2024-11-08T18:07:45.690] - client - INFO - 46 bytes from 54.197.223.49: time=32.33 ms
[2024-11-08T18:07:45.922] - client - INFO - 46 bytes from 54.197.223.49: time=29.84 ms
[2024-11-08T18:07:46.163] - client - INFO - 46 bytes from 54.197.223.49: time=38.77 ms
[2024-11-08T18:07:46.406] - client - INFO - 46 bytes from 54.197.223.49: time=41.38 ms
[2024-11-08T18:07:46.639] - client - INFO - 46 bytes from 54.197.223.49: time=32.53 ms
[2024-11-08T18:07:46.866] - client - INFO - 46 bytes from 54.197.223.49: time=26.31 ms
[2024-11-08T18:07:47.108] - client - INFO - 46 bytes from 54.197.223.49: time=39.35 ms
[2024-11-08T18:07:47.348] - client - INFO - 46 bytes from 54.197.223.49: time=38.93 ms
[2024-11-08T18:07:47.581] - client - INFO - 46 bytes from 54.197.223.49: time=31.84 ms
[2024-11-08T18:07:47.812] - client - INFO - 46 bytes from 54.197.223.49: time=30.84 ms
[2024-11-08T18:07:48.043] - client - INFO - 46 bytes from 54.197.223.49: time=28.51 ms
[2024-11-08T18:07:48.275] - client - INFO - 46 bytes from 54.197.223.49: time=30.50 ms
[2024-11-08T18:07:48.514] - client - INFO - 46 bytes from 54.197.223.49: time=38.98 ms
[2024-11-08T18:07:48.756] - client - INFO - 46 bytes from 54.197.223.49: time=41.36 ms
[2024-11-08T18:07:48.990] - client - INFO - 46 bytes from 54.197.223.49: time=32.93 ms
[2024-11-08T18:07:49.230] - client - INFO - 46 bytes from 54.197.223.49: time=39.17 ms
[2024-11-08T18:07:49.468] - client - INFO - 46 bytes from 54.197.223.49: time=36.76 ms
[2024-11-08T18:07:49.698] - client - INFO - 46 bytes from 54.197.223.49: time=29.19 ms
[2024-11-08T18:07:49.935] - client - INFO - 46 bytes from 54.197.223.49: time=35.52 ms
[2024-11-08T18:07:50.173] - client - INFO - 46 bytes from 54.197.223.49: time=36.22 ms
[2024-11-08T18:07:50.414] - client - INFO - 46 bytes from 54.197.223.49: time=40.37 ms
[2024-11-08T18:07:50.642] - client - INFO - 46 bytes from 54.197.223.49: time=28.10 ms
[2024-11-08T18:07:50.882] - client - INFO - 46 bytes from 54.197.223.49: time=37.81 ms
[2024-11-08T18:07:51.113] - client - INFO - 46 bytes from 54.197.223.49: time=29.54 ms
[2024-11-08T18:07:51.347] - client - INFO - 46 bytes from 54.197.223.49: time=33.58 ms
[2024-11-08T18:07:51.615] - client - INFO - 46 bytes from 54.197.223.49: time=66.69 ms
[2024-11-08T18:07:51.865] - client - INFO - 46 bytes from 54.197.223.49: time=49.05 ms
[2024-11-08T18:07:52.109] - client - INFO - 46 bytes from 54.197.223.49: time=42.98 ms
[2024-11-08T18:07:52.344] - client - INFO - 46 bytes from 54.197.223.49: time=34.12 ms
[2024-11-08T18:07:52.573] - client - INFO - 46 bytes from 54.197.223.49: time=28.92 ms
[2024-11-08T18:07:52.858] - client - INFO - 46 bytes from 54.197.223.49: time=83.22 ms
[2024-11-08T18:07:53.092] - client - INFO - 46 bytes from 54.197.223.49: time=33.51 ms
[2024-11-08T18:07:53.375] - client - INFO - 46 bytes from 54.197.223.49: time=82.30 ms
[2024-11-08T18:07:53.630] - client - INFO - 46 bytes from 54.197.223.49: time=52.95 ms
[2024-11-08T18:07:53.876] - client - INFO - 46 bytes from 54.197.223.49: time=45.18 ms
[2024-11-08T18:07:54.124] - client - INFO - 46 bytes from 54.197.223.49: time=47.83 ms
[2024-11-08T18:07:54.371] - client - INFO - 46 bytes from 54.197.223.49: time=45.28 ms
[2024-11-08T18:07:54.618] - client - INFO - 46 bytes from 54.197.223.49: time=46.59 ms
[2024-11-08T18:07:54.852] - client - INFO - 46 bytes from 54.197.223.49: time=32.65 ms
[2024-11-08T18:07:55.087] - client - INFO - 46 bytes from 54.197.223.49: time=32.70 ms
[2024-11-08T18:07:55.320] - client - INFO - 46 bytes from 54.197.223.49: time=32.44 ms
[2024-11-08T18:07:55.556] - client - INFO - 46 bytes from 54.197.223.49: time=33.45 ms
[2024-11-08T18:07:55.796] - client - INFO - 46 bytes from 54.197.223.49: time=40.03 ms
[2024-11-08T18:07:56.037] - client - INFO - 46 bytes from 54.197.223.49: time=36.69 ms
[2024-11-08T18:07:56.280] - client - INFO - 46 bytes from 54.197.223.49: time=41.51 ms
[2024-11-08T18:07:56.532] - client - INFO - 46 bytes from 54.197.223.49: time=50.57 ms
[2024-11-08T18:07:56.766] - client - INFO - 46 bytes from 54.197.223.49: time=33.60 ms
[2024-11-08T18:07:57.007] - client - INFO - 46 bytes from 54.197.223.49: time=40.31 ms
[2024-11-08T18:07:57.252] - client - INFO - 46 bytes from 54.197.223.49: time=42.63 ms
[2024-11-08T18:07:57.487] - client - INFO - 46 bytes from 54.197.223.49: time=34.37 ms
[2024-11-08T18:07:57.746] - client - INFO - 46 bytes from 54.197.223.49: time=56.25 ms
[2024-11-08T18:07:57.993] - client - INFO - 46 bytes from 54.197.223.49: time=45.02 ms
[2024-11-08T18:07:58.238] - client - INFO - 46 bytes from 54.197.223.49: time=43.97 ms
[2024-11-08T18:07:58.484] - client - INFO - 46 bytes from 54.197.223.49: time=45.48 ms
[2024-11-08T18:07:58.733] - client - INFO - 46 bytes from 54.197.223.49: time=46.40 ms
[2024-11-08T18:07:58.979] - client - INFO - 46 bytes from 54.197.223.49: time=45.84 ms
[2024-11-08T18:07:59.226] - client - INFO - 46 bytes from 54.197.223.49: time=46.15 ms
[2024-11-08T18:07:59.474] - client - INFO - 46 bytes from 54.197.223.49: time=47.03 ms
[2024-11-08T18:07:59.718] - client - INFO - 46 bytes from 54.197.223.49: time=43.41 ms
[2024-11-08T18:07:59.966] - client - INFO - 46 bytes from 54.197.223.49: time=46.77 ms
[2024-11-08T18:08:00.214] - client - INFO - 46 bytes from 54.197.223.49: time=46.96 ms
[2024-11-08T18:08:00.470] - client - INFO - 46 bytes from 54.197.223.49: time=54.06 ms
[2024-11-08T18:08:00.700] - client - INFO - 46 bytes from 54.197.223.49: time=29.27 ms
[2024-11-08T18:08:00.932] - client - INFO - 46 bytes from 54.197.223.49: time=29.10 ms
[2024-11-08T18:08:01.171] - client - INFO - 46 bytes from 54.197.223.49: time=36.71 ms
[2024-11-08T18:08:01.404] - client - INFO - 46 bytes from 54.197.223.49: time=32.43 ms
[2024-11-08T18:08:01.636] - client - INFO - 46 bytes from 54.197.223.49: time=29.22 ms
[2024-11-08T18:08:01.877] - client - INFO - 46 bytes from 54.197.223.49: time=38.88 ms
[2024-11-08T18:08:02.107] - client - INFO - 46 bytes from 54.197.223.49: time=29.02 ms
[2024-11-08T18:08:02.340] - client - INFO - 46 bytes from 54.197.223.49: time=31.70 ms
[2024-11-08T18:08:02.573] - client - INFO - 46 bytes from 54.197.223.49: time=32.78 ms
[2024-11-08T18:08:02.805] - client - INFO - 46 bytes from 54.197.223.49: time=30.70 ms
[2024-11-08T18:08:03.043] - client - INFO - 46 bytes from 54.197.223.49: time=37.10 ms
[2024-11-08T18:08:03.276] - client - INFO - 46 bytes from 54.197.223.49: time=31.87 ms
[2024-11-08T18:08:03.507] - client - INFO - 46 bytes from 54.197.223.49: time=30.26 ms
[2024-11-08T18:08:03.761] - client - INFO - 46 bytes from 54.197.223.49: time=52.68 ms
[2024-11-08T18:08:04.008] - client - INFO - 46 bytes from 54.197.223.49: time=44.32 ms
[2024-11-08T18:08:04.257] - client - INFO - 46 bytes from 54.197.223.49: time=45.88 ms
[2024-11-08T18:08:04.510] - client - INFO - 46 bytes from 54.197.223.49: time=52.80 ms
[2024-11-08T18:08:04.759] - client - INFO - 46 bytes from 54.197.223.49: time=47.08 ms
[2024-11-08T18:08:05.015] - client - INFO - 46 bytes from 54.197.223.49: time=54.36 ms
[2024-11-08T18:08:05.298] - client - INFO - 46 bytes from 54.197.223.49: time=80.75 ms
[2024-11-08T18:08:05.548] - client - INFO - 46 bytes from 54.197.223.49: time=47.31 ms
[2024-11-08T18:08:05.793] - client - INFO - 46 bytes from 54.197.223.49: time=41.67 ms
[2024-11-08T18:08:06.041] - client - INFO - 46 bytes from 54.197.223.49: time=47.23 ms
[2024-11-08T18:08:06.289] - client - INFO - 46 bytes from 54.197.223.49: time=45.37 ms
[2024-11-08T18:08:06.532] - client - INFO - 46 bytes from 54.197.223.49: time=42.81 ms
[2024-11-08T18:08:06.763] - client - INFO - 46 bytes from 54.197.223.49: time=28.79 ms
[2024-11-08T18:08:07.014] - client - INFO - 46 bytes from 54.197.223.49: time=48.92 ms
[2024-11-08T18:08:07.256] - client - INFO - 46 bytes from 54.197.223.49: time=41.23 ms
[2024-11-08T18:08:07.498] - client - INFO - 46 bytes from 54.197.223.49: time=39.08 ms
[2024-11-08T18:08:07.740] - client - INFO - 46 bytes from 54.197.223.49: time=39.49 ms
[2024-11-08T18:08:07.979] - client - INFO - 46 bytes from 54.197.223.49: time=36.27 ms
[2024-11-08T18:08:08.210] - client - INFO - 46 bytes from 54.197.223.49: time=31.02 ms
[2024-11-08T18:08:08.445] - client - INFO - 46 bytes from 54.197.223.49: time=32.56 ms
[2024-11-08T18:08:08.678] - client - INFO - 46 bytes from 54.197.223.49: time=29.76 ms
[2024-11-08T18:08:08.913] - client - INFO - 46 bytes from 54.197.223.49: time=34.70 ms
[2024-11-08T18:08:09.154] - client - INFO - 46 bytes from 54.197.223.49: time=39.75 ms
[2024-11-08T18:08:09.396] - client - INFO - 46 bytes from 54.197.223.49: time=40.76 ms
[2024-11-08T18:08:09.646] - client - INFO - 46 bytes from 54.197.223.49: time=49.49 ms
[2024-11-08T18:08:09.891] - client - INFO - 46 bytes from 54.197.223.49: time=43.01 ms
