Start time: 1731018086806
[2024-11-07T17:21:27.005] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-07T17:21:27.006] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-07T17:21:27.266] - client - INFO - 46 bytes from 54.197.223.49: time=260.59 ms
[2024-11-07T17:21:27.585] - client - INFO - 46 bytes from 54.197.223.49: time=118.22 ms
[2024-11-07T17:21:27.829] - client - INFO - 46 bytes from 54.197.223.49: time=42.97 ms
[2024-11-07T17:21:28.078] - client - INFO - 46 bytes from 54.197.223.49: time=47.79 ms
[2024-11-07T17:21:28.313] - client - INFO - 46 bytes from 54.197.223.49: time=34.41 ms
[2024-11-07T17:21:28.552] - client - INFO - 46 bytes from 54.197.223.49: time=38.54 ms
[2024-11-07T17:21:28.802] - client - INFO - 46 bytes from 54.197.223.49: time=49.46 ms
[2024-11-07T17:21:29.047] - client - INFO - 46 bytes from 54.197.223.49: time=44.43 ms
[2024-11-07T17:21:29.293] - client - INFO - 46 bytes from 54.197.223.49: time=44.66 ms
[2024-11-07T17:21:29.535] - client - INFO - 46 bytes from 54.197.223.49: time=41.42 ms
[2024-11-07T17:21:29.788] - client - INFO - 46 bytes from 54.197.223.49: time=52.85 ms
[2024-11-07T17:21:30.037] - client - INFO - 46 bytes from 54.197.223.49: time=48.00 ms
[2024-11-07T17:21:30.287] - client - INFO - 46 bytes from 54.197.223.49: time=49.49 ms
[2024-11-07T17:21:30.523] - client - INFO - 46 bytes from 54.197.223.49: time=34.89 ms
[2024-11-07T17:21:30.772] - client - INFO - 46 bytes from 54.197.223.49: time=48.92 ms
[2024-11-07T17:21:31.013] - client - INFO - 46 bytes from 54.197.223.49: time=40.30 ms
[2024-11-07T17:21:31.263] - client - INFO - 46 bytes from 54.197.223.49: time=48.82 ms
[2024-11-07T17:21:31.503] - client - INFO - 46 bytes from 54.197.223.49: time=39.43 ms
[2024-11-07T17:21:31.753] - client - INFO - 46 bytes from 54.197.223.49: time=49.57 ms
[2024-11-07T17:21:32.004] - client - INFO - 46 bytes from 54.197.223.49: time=49.74 ms
[2024-11-07T17:21:32.248] - client - INFO - 46 bytes from 54.197.223.49: time=43.85 ms
