Start time: 1730847278598
[2024-11-05T16:54:38.757894-0600] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2024-11-05T16:54:38.758468-0600] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=252 time=83.1 ms
[2024-11-05T16:54:38.940347-0600] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=252 time=64.6 ms
[2024-11-05T16:54:39.146587-0600] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=252 time=70.7 ms
[2024-11-05T16:54:39.345842-0600] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=252 time=68.5 ms
[2024-11-05T16:54:39.547001-0600] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=252 time=68.4 ms
[2024-11-05T16:54:39.747022-0600] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=252 time=67.3 ms
[2024-11-05T16:54:39.947152-0600] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=252 time=66.4 ms
[2024-11-05T16:54:40.177737-0600] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=252 time=95.8 ms
[2024-11-05T16:54:40.352050-0600] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=252 time=69.7 ms
[2024-11-05T16:54:40.546661-0600] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=252 time=64.1 ms
[2024-11-05T16:54:40.745583-0600] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=252 time=62.5 ms
[2024-11-05T16:54:40.946975-0600] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=252 time=62.7 ms
[2024-11-05T16:54:41.166943-0600] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=252 time=82.1 ms
[2024-11-05T16:54:41.351884-0600] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=252 time=66.2 ms
[2024-11-05T16:54:41.562694-0600] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=252 time=76.1 ms
[2024-11-05T16:54:41.757080-0600] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=252 time=69.8 ms
[2024-11-05T16:54:41.957237-0600] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=252 time=69.1 ms
[2024-11-05T16:54:42.157699-0600] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=252 time=68.7 ms
[2024-11-05T16:54:42.356028-0600] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=252 time=66.7 ms
[2024-11-05T16:54:42.556445-0600] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=252 time=66.9 ms
[2024-11-05T16:54:42.755585-0600] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=252 time=65.4 ms
[2024-11-05T16:54:42.962292-0600] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=252 time=71.1 ms
[2024-11-05T16:54:43.161532-0600] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=252 time=69.4 ms
[2024-11-05T16:54:43.361116-0600] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=252 time=67.8 ms
[2024-11-05T16:54:43.562468-0600] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=252 time=68.7 ms
[2024-11-05T16:54:43.762532-0600] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=252 time=68.4 ms
[2024-11-05T16:54:43.962584-0600] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=252 time=67.5 ms
[2024-11-05T16:54:44.166430-0600] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=252 time=70.1 ms
[2024-11-05T16:54:44.366463-0600] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=252 time=69.3 ms
[2024-11-05T16:54:44.566337-0600] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=252 time=68.3 ms
[2024-11-05T16:54:44.766297-0600] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=252 time=67.3 ms
[2024-11-05T16:54:44.968201-0600] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=252 time=68.1 ms
[2024-11-05T16:54:45.166637-0600] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=252 time=65.8 ms
[2024-11-05T16:54:45.368118-0600] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=252 time=66.7 ms
[2024-11-05T16:54:45.571377-0600] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=252 time=69.7 ms
