Start time: 1731088173317
[2024-11-08T12:49:34.213528-0500] nuttcp-t: v8.1.4: socket
[2024-11-08T12:49:34.214318-0500] nuttcp-t: buflen=65536, nstream=1, port=5103 tcp -> 54.197.223.49
[2024-11-08T12:49:34.214374-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-08T12:49:34.214411-0500] nuttcp-t: connect to 54.197.223.49 with mss=1448, RTT=41.505 ms af=inet
[2024-11-08T12:49:34.214446-0500] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-11-08T12:49:34.214483-0500] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-11-08T12:49:34.214515-0500] nuttcp-t: initial congestion window = 14 KB (10 packets)
[2024-11-08T12:49:34.214547-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T12:49:34.214582-0500] nuttcp-r: buflen=65536, nstream=1, port=5103 tcp
[2024-11-08T12:49:34.214614-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T12:49:34.214646-0500] nuttcp-r: accept from 98.97.21.159 with af=inet
[2024-11-08T12:49:34.214679-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-08T12:49:34.214708-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-08T12:49:54.565507-0500]     0.6875 MB /   0.50 sec =   11.5342 Mbps     0 retrans     62 KB-cwnd
[2024-11-08T12:49:55.179759-0500]     0.6875 MB /   0.50 sec =   11.5342 Mbps     2 retrans    127 KB-cwnd
[2024-11-08T12:49:55.180218-0500]     0.8750 MB /   0.50 sec =   14.6797 Mbps     0 retrans    127 KB-cwnd
[2024-11-08T12:49:55.622119-0500]     1.1250 MB /   0.50 sec =   18.8752 Mbps     1 retrans    107 KB-cwnd
[2024-11-08T12:49:56.124160-0500]     1.0625 MB /   0.50 sec =   17.8254 Mbps     0 retrans    113 KB-cwnd
[2024-11-08T12:49:56.626910-0500]     1.0000 MB /   0.50 sec =   16.7766 Mbps     0 retrans    118 KB-cwnd
[2024-11-08T12:49:57.466209-0500]     0.6875 MB /   0.50 sec =   11.5344 Mbps     3 retrans     84 KB-cwnd
[2024-11-08T12:49:58.677569-0500]     0.5000 MB /   0.50 sec =    8.3889 Mbps     6 retrans     46 KB-cwnd
[2024-11-08T12:49:58.678026-0500]     0.4375 MB /   0.50 sec =    7.3402 Mbps     0 retrans     46 KB-cwnd
[2024-11-08T12:49:58.678139-0500]     0.4375 MB /   0.50 sec =    7.3398 Mbps     0 retrans     46 KB-cwnd
[2024-11-08T12:49:59.666779-0500]     0.5000 MB /   0.50 sec =    8.3886 Mbps     2 retrans     73 KB-cwnd
[2024-11-08T12:49:59.667406-0500]     0.5000 MB /   0.50 sec =    8.3888 Mbps     0 retrans     73 KB-cwnd
[2024-11-08T12:50:00.402856-0500]     0.6875 MB /   0.50 sec =   11.5342 Mbps     3 retrans     70 KB-cwnd
[2024-11-08T12:50:01.628606-0500]     0.7500 MB /   0.50 sec =   12.5830 Mbps     3 retrans     41 KB-cwnd
[2024-11-08T12:50:01.628946-0500]     0.3750 MB /   0.50 sec =    6.2913 Mbps     0 retrans     41 KB-cwnd
[2024-11-08T12:50:01.629047-0500]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     41 KB-cwnd
[2024-11-08T12:50:03.955555-0500]     0.1875 MB /   0.50 sec =    3.1458 Mbps    12 retrans    123 KB-cwnd
[2024-11-08T12:50:03.956017-0500]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans    123 KB-cwnd
[2024-11-08T12:50:03.956140-0500]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans    123 KB-cwnd
[2024-11-08T12:50:03.956233-0500]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans    123 KB-cwnd
[2024-11-08T12:50:04.659810-0500]     0.5000 MB /   0.50 sec =    8.3882 Mbps    12 retrans     55 KB-cwnd
[2024-11-08T12:50:04.660237-0500]     0.7500 MB /   0.50 sec =   12.5834 Mbps     0 retrans     55 KB-cwnd
[2024-11-08T12:50:06.623536-0500]     0.3750 MB /   0.50 sec =    6.2913 Mbps    16 retrans     53 KB-cwnd
[2024-11-08T12:50:06.624154-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     53 KB-cwnd
[2024-11-08T12:50:06.624357-0500]     0.1250 MB /   0.50 sec =    2.0968 Mbps     0 retrans     53 KB-cwnd
[2024-11-08T12:50:06.624518-0500]     0.5000 MB /   0.50 sec =    8.3900 Mbps     0 retrans     53 KB-cwnd
[2024-11-08T12:50:07.500258-0500]     0.5625 MB /   0.50 sec =    9.4371 Mbps     1 retrans     57 KB-cwnd
[2024-11-08T12:50:08.495042-0500]     0.6250 MB /   0.50 sec =   10.4860 Mbps     5 retrans     38 KB-cwnd
[2024-11-08T12:50:08.495624-0500]     0.5000 MB /   0.50 sec =    8.3885 Mbps     0 retrans     38 KB-cwnd
[2024-11-08T12:50:10.097942-0500]     0.4375 MB /   0.50 sec =    7.3399 Mbps     5 retrans     35 KB-cwnd
[2024-11-08T12:50:10.098238-0500]     0.3750 MB /   0.50 sec =    6.2916 Mbps     0 retrans     35 KB-cwnd
[2024-11-08T12:50:10.098337-0500]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     35 KB-cwnd
[2024-11-08T12:50:10.098421-0500]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     35 KB-cwnd
[2024-11-08T12:50:11.439982-0500]     0.3750 MB /   0.50 sec =    6.2912 Mbps     6 retrans     90 KB-cwnd
[2024-11-08T12:50:11.440478-0500]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     90 KB-cwnd
[2024-11-08T12:50:12.239018-0500]     0.6250 MB /   0.50 sec =   10.4657 Mbps     5 retrans     52 KB-cwnd
[2024-11-08T12:50:12.239517-0500]     0.6250 MB /   0.50 sec =   10.5064 Mbps     0 retrans     52 KB-cwnd
[2024-11-08T12:50:12.841228-0500]     0.6250 MB /   0.50 sec =   10.4857 Mbps     2 retrans    121 KB-cwnd
[2024-11-08T12:50:13.205976-0500]     1.1875 MB /   0.50 sec =   19.9226 Mbps     4 retrans     72 KB-cwnd
[2024-11-08T12:50:13.846411-0500]     0.9375 MB /   0.50 sec =   15.7290 Mbps     1 retrans     67 KB-cwnd
[2024-11-08T12:50:14.268750-0500]     0.8750 MB /   0.50 sec =   14.6796 Mbps     3 retrans     82 KB-cwnd
[2024-11-08T12:50:14.758122-0500]     1.1875 MB /   0.50 sec =   19.9237 Mbps     0 retrans     91 KB-cwnd
[2024-11-08T12:50:15.191849-0500]     1.1250 MB /   0.50 sec =   18.8743 Mbps     1 retrans     90 KB-cwnd
[2024-11-08T12:50:15.768486-0500]     0.9375 MB /   0.50 sec =   15.7189 Mbps     2 retrans     63 KB-cwnd
[2024-11-08T12:50:16.347436-0500]     0.8750 MB /   0.50 sec =   14.6884 Mbps     0 retrans    101 KB-cwnd
[2024-11-08T12:50:16.741375-0500]     1.1250 MB /   0.50 sec =   18.8751 Mbps     4 retrans     83 KB-cwnd
[2024-11-08T12:50:17.327326-0500]     1.0000 MB /   0.50 sec =   16.7776 Mbps     1 retrans     76 KB-cwnd
[2024-11-08T12:50:17.812022-0500]     0.8750 MB /   0.50 sec =   14.6797 Mbps     3 retrans     79 KB-cwnd
[2024-11-08T12:50:18.411349-0500]     1.0000 MB /   0.50 sec =   16.7776 Mbps     1 retrans     73 KB-cwnd
[2024-11-08T12:50:18.889804-0500]     0.8125 MB /   0.50 sec =   13.6261 Mbps     1 retrans    100 KB-cwnd
[2024-11-08T12:50:19.508921-0500]     1.0625 MB /   0.50 sec =   17.8301 Mbps     1 retrans     87 KB-cwnd
[2024-11-08T12:50:20.249294-0500]     0.7500 MB /   0.50 sec =   12.5848 Mbps     2 retrans    127 KB-cwnd
[2024-11-08T12:50:20.249798-0500]     0.7500 MB /   0.50 sec =   12.5829 Mbps     0 retrans    127 KB-cwnd
[2024-11-08T12:50:20.746174-0500]     0.9375 MB /   0.50 sec =   15.7245 Mbps     3 retrans     94 KB-cwnd
[2024-11-08T12:50:21.295248-0500]     0.8125 MB /   0.50 sec =   13.6350 Mbps     0 retrans    103 KB-cwnd
[2024-11-08T12:50:21.831526-0500]     1.0000 MB /   0.50 sec =   16.7774 Mbps     4 retrans    124 KB-cwnd
[2024-11-08T12:50:22.238790-0500]     1.1250 MB /   0.50 sec =   18.8743 Mbps     2 retrans    106 KB-cwnd
