Start time: 1731081019370
[2024-11-08T10:50:19.561] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-08T10:50:19.561] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-08T10:50:19.594] - client - INFO - 46 bytes from 54.197.223.49: time=32.41 ms
[2024-11-08T10:50:19.827] - client - INFO - 46 bytes from 54.197.223.49: time=32.06 ms
[2024-11-08T10:50:20.060] - client - INFO - 46 bytes from 54.197.223.49: time=31.52 ms
[2024-11-08T10:50:20.301] - client - INFO - 46 bytes from 54.197.223.49: time=38.41 ms
[2024-11-08T10:50:20.532] - client - INFO - 46 bytes from 54.197.223.49: time=31.10 ms
[2024-11-08T10:50:20.774] - client - INFO - 46 bytes from 54.197.223.49: time=40.68 ms
[2024-11-08T10:50:21.013] - client - INFO - 46 bytes from 54.197.223.49: time=38.17 ms
[2024-11-08T10:50:21.246] - client - INFO - 46 bytes from 54.197.223.49: time=32.41 ms
[2024-11-08T10:50:21.486] - client - INFO - 46 bytes from 54.197.223.49: time=38.59 ms
[2024-11-08T10:50:21.733] - client - INFO - 46 bytes from 54.197.223.49: time=46.60 ms
[2024-11-08T10:50:21.966] - client - INFO - 46 bytes from 54.197.223.49: time=31.11 ms
[2024-11-08T10:50:22.199] - client - INFO - 46 bytes from 54.197.223.49: time=32.31 ms
[2024-11-08T10:50:22.432] - client - INFO - 46 bytes from 54.197.223.49: time=32.27 ms
[2024-11-08T10:50:22.666] - client - INFO - 46 bytes from 54.197.223.49: time=31.84 ms
[2024-11-08T10:50:22.906] - client - INFO - 46 bytes from 54.197.223.49: time=39.52 ms
[2024-11-08T10:50:23.140] - client - INFO - 46 bytes from 54.197.223.49: time=33.45 ms
[2024-11-08T10:50:23.382] - client - INFO - 46 bytes from 54.197.223.49: time=40.85 ms
[2024-11-08T10:50:23.619] - client - INFO - 46 bytes from 54.197.223.49: time=36.36 ms
[2024-11-08T10:50:23.860] - client - INFO - 46 bytes from 54.197.223.49: time=39.94 ms
[2024-11-08T10:50:24.106] - client - INFO - 46 bytes from 54.197.223.49: time=44.50 ms
[2024-11-08T10:50:24.360] - client - INFO - 46 bytes from 54.197.223.49: time=52.87 ms
[2024-11-08T10:50:24.613] - client - INFO - 46 bytes from 54.197.223.49: time=51.13 ms
[2024-11-08T10:50:24.848] - client - INFO - 46 bytes from 54.197.223.49: time=32.30 ms
[2024-11-08T10:50:25.087] - client - INFO - 46 bytes from 54.197.223.49: time=38.10 ms
[2024-11-08T10:50:25.340] - client - INFO - 46 bytes from 54.197.223.49: time=50.18 ms
[2024-11-08T10:50:25.580] - client - INFO - 46 bytes from 54.197.223.49: time=38.39 ms
[2024-11-08T10:50:25.812] - client - INFO - 46 bytes from 54.197.223.49: time=31.33 ms
[2024-11-08T10:50:26.061] - client - INFO - 46 bytes from 54.197.223.49: time=48.09 ms
[2024-11-08T10:50:26.313] - client - INFO - 46 bytes from 54.197.223.49: time=50.50 ms
[2024-11-08T10:50:26.562] - client - INFO - 46 bytes from 54.197.223.49: time=48.33 ms
[2024-11-08T10:50:26.820] - client - INFO - 46 bytes from 54.197.223.49: time=56.61 ms
[2024-11-08T10:50:27.090] - client - INFO - 46 bytes from 54.197.223.49: time=67.80 ms
[2024-11-08T10:50:27.365] - client - INFO - 46 bytes from 54.197.223.49: time=73.30 ms
[2024-11-08T10:50:27.611] - client - INFO - 46 bytes from 54.197.223.49: time=45.52 ms
[2024-11-08T10:50:27.864] - client - INFO - 46 bytes from 54.197.223.49: time=50.81 ms
[2024-11-08T10:50:28.102] - client - INFO - 46 bytes from 54.197.223.49: time=35.86 ms
[2024-11-08T10:50:28.364] - client - INFO - 46 bytes from 54.197.223.49: time=61.19 ms
[2024-11-08T10:50:28.617] - client - INFO - 46 bytes from 54.197.223.49: time=50.83 ms
[2024-11-08T10:50:28.862] - client - INFO - 46 bytes from 54.197.223.49: time=44.46 ms
[2024-11-08T10:50:29.111] - client - INFO - 46 bytes from 54.197.223.49: time=48.44 ms
[2024-11-08T10:50:29.376] - client - INFO - 46 bytes from 54.197.223.49: time=63.80 ms
[2024-11-08T10:50:29.625] - client - INFO - 46 bytes from 54.197.223.49: time=45.93 ms
[2024-11-08T10:50:29.858] - client - INFO - 46 bytes from 54.197.223.49: time=30.86 ms
[2024-11-08T10:50:30.112] - client - INFO - 46 bytes from 54.197.223.49: time=51.96 ms
[2024-11-08T10:50:30.343] - client - INFO - 46 bytes from 54.197.223.49: time=30.29 ms
[2024-11-08T10:50:30.590] - client - INFO - 46 bytes from 54.197.223.49: time=45.56 ms
[2024-11-08T10:50:30.890] - client - INFO - 46 bytes from 54.197.223.49: time=97.24 ms
[2024-11-08T10:50:31.137] - client - INFO - 46 bytes from 54.197.223.49: time=45.24 ms
[2024-11-08T10:50:31.423] - client - INFO - 46 bytes from 54.197.223.49: time=84.13 ms
[2024-11-08T10:50:31.712] - client - INFO - 46 bytes from 54.197.223.49: time=87.68 ms
[2024-11-08T10:50:32.001] - client - INFO - 46 bytes from 54.197.223.49: time=86.96 ms
[2024-11-08T10:50:32.251] - client - INFO - 46 bytes from 54.197.223.49: time=48.96 ms
[2024-11-08T10:50:32.494] - client - INFO - 46 bytes from 54.197.223.49: time=41.10 ms
[2024-11-08T10:50:32.743] - client - INFO - 46 bytes from 54.197.223.49: time=48.23 ms
[2024-11-08T10:50:32.986] - client - INFO - 46 bytes from 54.197.223.49: time=42.54 ms
[2024-11-08T10:50:33.236] - client - INFO - 46 bytes from 54.197.223.49: time=47.65 ms
[2024-11-08T10:50:33.522] - client - INFO - 46 bytes from 54.197.223.49: time=85.26 ms
[2024-11-08T10:50:33.767] - client - INFO - 46 bytes from 54.197.223.49: time=43.66 ms
