Start time: 1730853077337
[2024-11-05T18:31:17.431790-0600] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2024-11-05T18:31:17.432183-0600] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=54 time=37.1 ms
[2024-11-05T18:31:17.632716-0600] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=54 time=37.1 ms
[2024-11-05T18:31:17.832652-0600] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=54 time=36.3 ms
[2024-11-05T18:31:18.032223-0600] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=54 time=34.8 ms
[2024-11-05T18:31:18.232532-0600] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=54 time=35.6 ms
[2024-11-05T18:31:18.432280-0600] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=54 time=35.0 ms
[2024-11-05T18:31:18.632747-0600] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=54 time=34.8 ms
[2024-11-05T18:31:18.832331-0600] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=54 time=33.9 ms
[2024-11-05T18:31:19.038108-0600] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=54 time=39.2 ms
[2024-11-05T18:31:19.248419-0600] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=54 time=49.5 ms
[2024-11-05T18:31:19.447837-0600] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=54 time=47.6 ms
[2024-11-05T18:31:19.649652-0600] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=54 time=49.1 ms
[2024-11-05T18:31:19.849658-0600] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=54 time=48.3 ms
[2024-11-05T18:31:20.057783-0600] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=54 time=55.4 ms
[2024-11-05T18:31:20.248654-0600] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=54 time=45.2 ms
