Start time: 1730922343091
[2024-11-06T14:45:43.266] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-06T14:45:43.266] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-06T14:45:43.311] - client - INFO - 46 bytes from 54.197.223.49: time=45.20 ms
[2024-11-06T14:45:43.557] - client - INFO - 46 bytes from 54.197.223.49: time=43.00 ms
[2024-11-06T14:45:44.065] - client - INFO - 46 bytes from 54.197.223.49: time=306.44 ms
[2024-11-06T14:45:44.320] - client - INFO - 46 bytes from 54.197.223.49: time=52.99 ms
[2024-11-06T14:45:44.567] - client - INFO - 46 bytes from 54.197.223.49: time=44.53 ms
[2024-11-06T14:45:44.809] - client - INFO - 46 bytes from 54.197.223.49: time=40.70 ms
[2024-11-06T14:45:45.069] - client - INFO - 46 bytes from 54.197.223.49: time=58.80 ms
[2024-11-06T14:45:45.322] - client - INFO - 46 bytes from 54.197.223.49: time=50.28 ms
[2024-11-06T14:45:45.577] - client - INFO - 46 bytes from 54.197.223.49: time=53.17 ms
[2024-11-06T14:45:45.833] - client - INFO - 46 bytes from 54.197.223.49: time=55.26 ms
[2024-11-06T14:45:46.086] - client - INFO - 46 bytes from 54.197.223.49: time=50.05 ms
[2024-11-06T14:45:46.328] - client - INFO - 46 bytes from 54.197.223.49: time=40.43 ms
[2024-11-06T14:45:46.573] - client - INFO - 46 bytes from 54.197.223.49: time=44.23 ms
[2024-11-06T14:45:46.823] - client - INFO - 46 bytes from 54.197.223.49: time=48.88 ms
[2024-11-06T14:45:47.065] - client - INFO - 46 bytes from 54.197.223.49: time=41.20 ms
[2024-11-06T14:45:47.309] - client - INFO - 46 bytes from 54.197.223.49: time=42.89 ms
[2024-11-06T14:45:47.569] - client - INFO - 46 bytes from 54.197.223.49: time=58.04 ms
[2024-11-06T14:45:47.820] - client - INFO - 46 bytes from 54.197.223.49: time=48.90 ms
[2024-11-06T14:45:48.063] - client - INFO - 46 bytes from 54.197.223.49: time=42.92 ms
[2024-11-06T14:45:48.312] - client - INFO - 46 bytes from 54.197.223.49: time=47.91 ms
[2024-11-06T14:45:48.558] - client - INFO - 46 bytes from 54.197.223.49: time=43.90 ms
[2024-11-06T14:45:48.802] - client - INFO - 46 bytes from 54.197.223.49: time=42.77 ms
[2024-11-06T14:45:49.064] - client - INFO - 46 bytes from 54.197.223.49: time=61.04 ms
[2024-11-06T14:45:49.318] - client - INFO - 46 bytes from 54.197.223.49: time=53.27 ms
[2024-11-06T14:45:49.561] - client - INFO - 46 bytes from 54.197.223.49: time=41.05 ms
[2024-11-06T14:45:49.815] - client - INFO - 46 bytes from 54.197.223.49: time=53.82 ms
[2024-11-06T14:45:50.071] - client - INFO - 46 bytes from 54.197.223.49: time=55.46 ms
[2024-11-06T14:45:50.319] - client - INFO - 46 bytes from 54.197.223.49: time=46.81 ms
[2024-11-06T14:45:50.571] - client - INFO - 46 bytes from 54.197.223.49: time=51.61 ms
[2024-11-06T14:45:50.812] - client - INFO - 46 bytes from 54.197.223.49: time=40.16 ms
[2024-11-06T14:45:51.057] - client - INFO - 46 bytes from 54.197.223.49: time=42.85 ms
[2024-11-06T14:45:51.304] - client - INFO - 46 bytes from 54.197.223.49: time=46.21 ms
[2024-11-06T14:45:51.545] - client - INFO - 46 bytes from 54.197.223.49: time=39.91 ms
[2024-11-06T14:45:51.791] - client - INFO - 46 bytes from 54.197.223.49: time=45.47 ms
[2024-11-06T14:45:52.044] - client - INFO - 46 bytes from 54.197.223.49: time=51.95 ms
[2024-11-06T14:45:52.300] - client - INFO - 46 bytes from 54.197.223.49: time=55.71 ms
[2024-11-06T14:45:52.544] - client - INFO - 46 bytes from 54.197.223.49: time=42.44 ms
[2024-11-06T14:45:52.795] - client - INFO - 46 bytes from 54.197.223.49: time=50.99 ms
[2024-11-06T14:45:53.105] - client - INFO - 46 bytes from 54.197.223.49: time=109.52 ms
[2024-11-06T14:45:53.352] - client - INFO - 46 bytes from 54.197.223.49: time=45.69 ms
[2024-11-06T14:45:53.599] - client - INFO - 46 bytes from 54.197.223.49: time=44.77 ms
[2024-11-06T14:45:53.845] - client - INFO - 46 bytes from 54.197.223.49: time=43.38 ms
[2024-11-06T14:45:54.099] - client - INFO - 46 bytes from 54.197.223.49: time=50.68 ms
[2024-11-06T14:45:54.341] - client - INFO - 46 bytes from 54.197.223.49: time=41.09 ms
[2024-11-06T14:45:54.590] - client - INFO - 46 bytes from 54.197.223.49: time=48.48 ms
[2024-11-06T14:45:54.832] - client - INFO - 46 bytes from 54.197.223.49: time=41.49 ms
[2024-11-06T14:45:55.077] - client - INFO - 46 bytes from 54.197.223.49: time=43.87 ms
[2024-11-06T14:45:55.329] - client - INFO - 46 bytes from 54.197.223.49: time=51.73 ms
[2024-11-06T14:45:55.578] - client - INFO - 46 bytes from 54.197.223.49: time=47.22 ms
[2024-11-06T14:45:55.832] - client - INFO - 46 bytes from 54.197.223.49: time=52.34 ms
[2024-11-06T14:45:56.079] - client - INFO - 46 bytes from 54.197.223.49: time=45.70 ms
[2024-11-06T14:45:56.325] - client - INFO - 46 bytes from 54.197.223.49: time=44.33 ms
[2024-11-06T14:45:56.581] - client - INFO - 46 bytes from 54.197.223.49: time=55.20 ms
[2024-11-06T14:45:56.843] - client - INFO - 46 bytes from 54.197.223.49: time=61.05 ms
[2024-11-06T14:45:57.123] - client - INFO - 46 bytes from 54.197.223.49: time=77.69 ms
[2024-11-06T14:45:57.365] - client - INFO - 46 bytes from 54.197.223.49: time=40.19 ms
[2024-11-06T14:45:57.622] - client - INFO - 46 bytes from 54.197.223.49: time=54.81 ms
[2024-11-06T14:45:57.882] - client - INFO - 46 bytes from 54.197.223.49: time=58.93 ms
[2024-11-06T14:45:58.138] - client - INFO - 46 bytes from 54.197.223.49: time=53.47 ms
[2024-11-06T14:45:58.388] - client - INFO - 46 bytes from 54.197.223.49: time=48.55 ms
[2024-11-06T14:45:58.631] - client - INFO - 46 bytes from 54.197.223.49: time=42.53 ms
[2024-11-06T14:45:58.908] - client - INFO - 46 bytes from 54.197.223.49: time=73.89 ms
[2024-11-06T14:45:59.177] - client - INFO - 46 bytes from 54.197.223.49: time=68.69 ms
[2024-11-06T14:45:59.444] - client - INFO - 46 bytes from 54.197.223.49: time=65.55 ms
[2024-11-06T14:45:59.700] - client - INFO - 46 bytes from 54.197.223.49: time=55.55 ms
[2024-11-06T14:45:59.951] - client - INFO - 46 bytes from 54.197.223.49: time=49.25 ms
[2024-11-06T14:46:00.216] - client - INFO - 46 bytes from 54.197.223.49: time=62.22 ms
[2024-11-06T14:46:00.463] - client - INFO - 46 bytes from 54.197.223.49: time=47.14 ms
[2024-11-06T14:46:00.706] - client - INFO - 46 bytes from 54.197.223.49: time=42.51 ms
[2024-11-06T14:46:00.984] - client - INFO - 46 bytes from 54.197.223.49: time=76.58 ms
[2024-11-06T14:46:01.238] - client - INFO - 46 bytes from 54.197.223.49: time=53.05 ms
[2024-11-06T14:46:01.499] - client - INFO - 46 bytes from 54.197.223.49: time=59.92 ms
[2024-11-06T14:46:01.762] - client - INFO - 46 bytes from 54.197.223.49: time=62.05 ms
[2024-11-06T14:46:02.016] - client - INFO - 46 bytes from 54.197.223.49: time=53.07 ms
[2024-11-06T14:46:02.274] - client - INFO - 46 bytes from 54.197.223.49: time=57.43 ms
[2024-11-06T14:46:02.578] - client - INFO - 46 bytes from 54.197.223.49: time=103.24 ms
[2024-11-06T14:46:02.829] - client - INFO - 46 bytes from 54.197.223.49: time=50.12 ms
[2024-11-06T14:46:03.083] - client - INFO - 46 bytes from 54.197.223.49: time=52.66 ms
[2024-11-06T14:46:03.622] - client - INFO - 46 bytes from 54.197.223.49: time=337.85 ms
[2024-11-06T14:46:03.888] - client - INFO - 46 bytes from 54.197.223.49: time=65.33 ms
[2024-11-06T14:46:04.149] - client - INFO - 46 bytes from 54.197.223.49: time=58.27 ms
[2024-11-06T14:46:04.416] - client - INFO - 46 bytes from 54.197.223.49: time=65.78 ms
[2024-11-06T14:46:04.666] - client - INFO - 46 bytes from 54.197.223.49: time=47.41 ms
[2024-11-06T14:46:04.918] - client - INFO - 46 bytes from 54.197.223.49: time=49.77 ms
[2024-11-06T14:46:05.172] - client - INFO - 46 bytes from 54.197.223.49: time=51.31 ms
[2024-11-06T14:46:05.495] - client - INFO - 46 bytes from 54.197.223.49: time=121.33 ms
[2024-11-06T14:46:05.747] - client - INFO - 46 bytes from 54.197.223.49: time=50.82 ms
[2024-11-06T14:46:06.008] - client - INFO - 46 bytes from 54.197.223.49: time=59.14 ms
[2024-11-06T14:46:06.264] - client - INFO - 46 bytes from 54.197.223.49: time=53.08 ms
[2024-11-06T14:46:06.539] - client - INFO - 46 bytes from 54.197.223.49: time=73.59 ms
[2024-11-06T14:46:06.790] - client - INFO - 46 bytes from 54.197.223.49: time=49.94 ms
[2024-11-06T14:46:07.044] - client - INFO - 46 bytes from 54.197.223.49: time=54.31 ms
[2024-11-06T14:46:07.294] - client - INFO - 46 bytes from 54.197.223.49: time=48.35 ms
[2024-11-06T14:46:07.549] - client - INFO - 46 bytes from 54.197.223.49: time=54.09 ms
[2024-11-06T14:46:07.819] - client - INFO - 46 bytes from 54.197.223.49: time=69.03 ms
[2024-11-06T14:46:08.113] - client - INFO - 46 bytes from 54.197.223.49: time=93.45 ms
[2024-11-06T14:46:08.373] - client - INFO - 46 bytes from 54.197.223.49: time=58.40 ms
[2024-11-06T14:46:08.628] - client - INFO - 46 bytes from 54.197.223.49: time=53.53 ms
[2024-11-06T14:46:08.933] - client - INFO - 46 bytes from 54.197.223.49: time=103.91 ms
[2024-11-06T14:46:09.204] - client - INFO - 46 bytes from 54.197.223.49: time=67.79 ms
[2024-11-06T14:46:09.445] - client - INFO - 46 bytes from 54.197.223.49: time=40.61 ms
[2024-11-06T14:46:09.700] - client - INFO - 46 bytes from 54.197.223.49: time=54.62 ms
[2024-11-06T14:46:09.951] - client - INFO - 46 bytes from 54.197.223.49: time=48.28 ms
[2024-11-06T14:46:10.196] - client - INFO - 46 bytes from 54.197.223.49: time=42.16 ms
[2024-11-06T14:46:10.462] - client - INFO - 46 bytes from 54.197.223.49: time=65.77 ms
[2024-11-06T14:46:10.714] - client - INFO - 46 bytes from 54.197.223.49: time=50.47 ms
[2024-11-06T14:46:10.968] - client - INFO - 46 bytes from 54.197.223.49: time=52.89 ms
[2024-11-06T14:46:11.290] - client - INFO - 46 bytes from 54.197.223.49: time=120.92 ms
[2024-11-06T14:46:11.542] - client - INFO - 46 bytes from 54.197.223.49: time=49.55 ms
[2024-11-06T14:46:11.795] - client - INFO - 46 bytes from 54.197.223.49: time=51.56 ms
[2024-11-06T14:46:12.037] - client - INFO - 46 bytes from 54.197.223.49: time=41.14 ms
[2024-11-06T14:46:12.283] - client - INFO - 46 bytes from 54.197.223.49: time=44.00 ms
[2024-11-06T14:46:12.543] - client - INFO - 46 bytes from 54.197.223.49: time=58.53 ms
