Start time: 1731086097110
[2024-11-08T12:14:57.375] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-08T12:14:57.375] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-08T12:14:57.458] - client - INFO - 46 bytes from 54.197.223.49: time=81.83 ms
[2024-11-08T12:14:57.729] - client - INFO - 46 bytes from 54.197.223.49: time=70.50 ms
[2024-11-08T12:14:57.992] - client - INFO - 46 bytes from 54.197.223.49: time=63.31 ms
[2024-11-08T12:14:58.256] - client - INFO - 46 bytes from 54.197.223.49: time=62.66 ms
[2024-11-08T12:14:58.515] - client - INFO - 46 bytes from 54.197.223.49: time=58.43 ms
[2024-11-08T12:14:58.783] - client - INFO - 46 bytes from 54.197.223.49: time=67.29 ms
[2024-11-08T12:14:59.050] - client - INFO - 46 bytes from 54.197.223.49: time=66.31 ms
[2024-11-08T12:14:59.321] - client - INFO - 46 bytes from 54.197.223.49: time=70.67 ms
[2024-11-08T12:14:59.576] - client - INFO - 46 bytes from 54.197.223.49: time=54.08 ms
[2024-11-08T12:14:59.834] - client - INFO - 46 bytes from 54.197.223.49: time=56.91 ms
[2024-11-08T12:15:00.095] - client - INFO - 46 bytes from 54.197.223.49: time=60.43 ms
[2024-11-08T12:15:00.363] - client - INFO - 46 bytes from 54.197.223.49: time=67.18 ms
[2024-11-08T12:15:00.616] - client - INFO - 46 bytes from 54.197.223.49: time=51.97 ms
[2024-11-08T12:15:00.874] - client - INFO - 46 bytes from 54.197.223.49: time=57.43 ms
[2024-11-08T12:15:01.135] - client - INFO - 46 bytes from 54.197.223.49: time=60.41 ms
[2024-11-08T12:15:01.395] - client - INFO - 46 bytes from 54.197.223.49: time=59.18 ms
[2024-11-08T12:15:01.663] - client - INFO - 46 bytes from 54.197.223.49: time=67.53 ms
[2024-11-08T12:15:01.915] - client - INFO - 46 bytes from 54.197.223.49: time=50.72 ms
[2024-11-08T12:15:02.174] - client - INFO - 46 bytes from 54.197.223.49: time=58.00 ms
[2024-11-08T12:15:02.436] - client - INFO - 46 bytes from 54.197.223.49: time=61.51 ms
[2024-11-08T12:15:02.695] - client - INFO - 46 bytes from 54.197.223.49: time=58.32 ms
[2024-11-08T12:15:02.963] - client - INFO - 46 bytes from 54.197.223.49: time=67.46 ms
[2024-11-08T12:15:03.216] - client - INFO - 46 bytes from 54.197.223.49: time=52.00 ms
[2024-11-08T12:15:03.475] - client - INFO - 46 bytes from 54.197.223.49: time=58.41 ms
[2024-11-08T12:15:03.741] - client - INFO - 46 bytes from 54.197.223.49: time=65.58 ms
[2024-11-08T12:15:04.003] - client - INFO - 46 bytes from 54.197.223.49: time=61.13 ms
[2024-11-08T12:15:04.255] - client - INFO - 46 bytes from 54.197.223.49: time=51.30 ms
[2024-11-08T12:15:04.516] - client - INFO - 46 bytes from 54.197.223.49: time=60.13 ms
[2024-11-08T12:15:04.777] - client - INFO - 46 bytes from 54.197.223.49: time=59.98 ms
[2024-11-08T12:15:05.035] - client - INFO - 46 bytes from 54.197.223.49: time=57.32 ms
[2024-11-08T12:15:05.296] - client - INFO - 46 bytes from 54.197.223.49: time=60.55 ms
[2024-11-08T12:15:05.556] - client - INFO - 46 bytes from 54.197.223.49: time=59.41 ms
[2024-11-08T12:15:05.823] - client - INFO - 46 bytes from 54.197.223.49: time=66.15 ms
[2024-11-08T12:15:06.076] - client - INFO - 46 bytes from 54.197.223.49: time=52.49 ms
[2024-11-08T12:15:06.335] - client - INFO - 46 bytes from 54.197.223.49: time=58.09 ms
[2024-11-08T12:15:06.595] - client - INFO - 46 bytes from 54.197.223.49: time=58.69 ms
[2024-11-08T12:15:06.855] - client - INFO - 46 bytes from 54.197.223.49: time=59.25 ms
[2024-11-08T12:15:07.114] - client - INFO - 46 bytes from 54.197.223.49: time=58.22 ms
[2024-11-08T12:15:07.375] - client - INFO - 46 bytes from 54.197.223.49: time=60.43 ms
[2024-11-08T12:15:07.635] - client - INFO - 46 bytes from 54.197.223.49: time=58.93 ms
[2024-11-08T12:15:07.895] - client - INFO - 46 bytes from 54.197.223.49: time=59.22 ms
[2024-11-08T12:15:08.155] - client - INFO - 46 bytes from 54.197.223.49: time=59.23 ms
[2024-11-08T12:15:08.415] - client - INFO - 46 bytes from 54.197.223.49: time=59.22 ms
[2024-11-08T12:15:08.675] - client - INFO - 46 bytes from 54.197.223.49: time=59.28 ms
[2024-11-08T12:15:08.942] - client - INFO - 46 bytes from 54.197.223.49: time=66.16 ms
[2024-11-08T12:15:09.195] - client - INFO - 46 bytes from 54.197.223.49: time=52.63 ms
[2024-11-08T12:15:09.455] - client - INFO - 46 bytes from 54.197.223.49: time=59.12 ms
[2024-11-08T12:15:09.715] - client - INFO - 46 bytes from 54.197.223.49: time=59.25 ms
[2024-11-08T12:15:09.975] - client - INFO - 46 bytes from 54.197.223.49: time=59.66 ms
[2024-11-08T12:15:10.234] - client - INFO - 46 bytes from 54.197.223.49: time=58.30 ms
[2024-11-08T12:15:10.494] - client - INFO - 46 bytes from 54.197.223.49: time=59.24 ms
[2024-11-08T12:15:10.755] - client - INFO - 46 bytes from 54.197.223.49: time=60.42 ms
[2024-11-08T12:15:11.015] - client - INFO - 46 bytes from 54.197.223.49: time=58.81 ms
[2024-11-08T12:15:11.275] - client - INFO - 46 bytes from 54.197.223.49: time=59.40 ms
[2024-11-08T12:15:11.534] - client - INFO - 46 bytes from 54.197.223.49: time=58.47 ms
[2024-11-08T12:15:11.795] - client - INFO - 46 bytes from 54.197.223.49: time=60.26 ms
[2024-11-08T12:15:12.061] - client - INFO - 46 bytes from 54.197.223.49: time=64.99 ms
[2024-11-08T12:15:12.323] - client - INFO - 46 bytes from 54.197.223.49: time=61.42 ms
[2024-11-08T12:15:12.575] - client - INFO - 46 bytes from 54.197.223.49: time=51.16 ms
[2024-11-08T12:15:12.842] - client - INFO - 46 bytes from 54.197.223.49: time=66.62 ms
[2024-11-08T12:15:13.095] - client - INFO - 46 bytes from 54.197.223.49: time=52.20 ms
[2024-11-08T12:15:13.355] - client - INFO - 46 bytes from 54.197.223.49: time=58.99 ms
[2024-11-08T12:15:13.615] - client - INFO - 46 bytes from 54.197.223.49: time=59.75 ms
[2024-11-08T12:15:13.875] - client - INFO - 46 bytes from 54.197.223.49: time=59.08 ms
[2024-11-08T12:15:14.134] - client - INFO - 46 bytes from 54.197.223.49: time=58.20 ms
