Start time: 1730994251310
[2024-11-07T10:44:29.054] - client - INFO - 46 bytes from 54.197.223.49: time=59.28 ms
[2024-11-07T10:44:29.318] - client - INFO - 46 bytes from 54.197.223.49: time=62.18 ms
[2024-11-07T10:44:29.572] - client - INFO - 46 bytes from 54.197.223.49: time=52.44 ms
[2024-11-07T10:44:29.823] - client - INFO - 46 bytes from 54.197.223.49: time=50.39 ms
[2024-11-07T10:44:30.073] - client - INFO - 46 bytes from 54.197.223.49: time=49.33 ms
[2024-11-07T10:44:30.325] - client - INFO - 46 bytes from 54.197.223.49: time=51.43 ms
[2024-11-07T10:44:30.576] - client - INFO - 46 bytes from 54.197.223.49: time=50.02 ms
[2024-11-07T10:44:30.838] - client - INFO - 46 bytes from 54.197.223.49: time=61.20 ms
[2024-11-07T10:44:31.124] - client - INFO - 46 bytes from 54.197.223.49: time=85.11 ms
[2024-11-07T10:44:31.419] - client - INFO - 46 bytes from 54.197.223.49: time=92.61 ms
[2024-11-07T10:44:31.703] - client - INFO - 46 bytes from 54.197.223.49: time=82.14 ms
[2024-11-07T10:44:31.991] - client - INFO - 46 bytes from 54.197.223.49: time=86.53 ms
[2024-11-07T10:44:32.244] - client - INFO - 46 bytes from 54.197.223.49: time=50.29 ms
[2024-11-07T10:44:32.526] - client - INFO - 46 bytes from 54.197.223.49: time=80.87 ms
[2024-11-07T10:44:32.815] - client - INFO - 46 bytes from 54.197.223.49: time=86.61 ms
[2024-11-07T10:44:33.101] - client - INFO - 46 bytes from 54.197.223.49: time=84.07 ms
[2024-11-07T10:44:33.390] - client - INFO - 46 bytes from 54.197.223.49: time=86.91 ms
[2024-11-07T10:44:33.641] - client - INFO - 46 bytes from 54.197.223.49: time=50.03 ms
[2024-11-07T10:44:33.924] - client - INFO - 46 bytes from 54.197.223.49: time=82.49 ms
[2024-11-07T10:44:34.209] - client - INFO - 46 bytes from 54.197.223.49: time=83.15 ms
[2024-11-07T10:44:34.464] - client - INFO - 46 bytes from 54.197.223.49: time=54.71 ms
[2024-11-07T10:44:34.714] - client - INFO - 46 bytes from 54.197.223.49: time=49.62 ms
[2024-11-07T10:44:35.008] - client - INFO - 46 bytes from 54.197.223.49: time=91.29 ms
