Start time: 1730825786547
[2024-11-05T10:56:26.863] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-05T10:56:26.863] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-05T10:56:26.961] - client - INFO - 46 bytes from 54.197.223.49: time=97.81 ms
[2024-11-05T10:56:27.257] - client - INFO - 46 bytes from 54.197.223.49: time=94.40 ms
[2024-11-05T10:56:27.556] - client - INFO - 46 bytes from 54.197.223.49: time=98.31 ms
[2024-11-05T10:56:27.860] - client - INFO - 46 bytes from 54.197.223.49: time=103.28 ms
[2024-11-05T10:56:28.165] - client - INFO - 46 bytes from 54.197.223.49: time=104.97 ms
[2024-11-05T10:56:28.463] - client - INFO - 46 bytes from 54.197.223.49: time=97.57 ms
[2024-11-05T10:56:28.754] - client - INFO - 46 bytes from 54.197.223.49: time=89.73 ms
[2024-11-05T10:56:29.044] - client - INFO - 46 bytes from 54.197.223.49: time=88.89 ms
[2024-11-05T10:56:29.346] - client - INFO - 46 bytes from 54.197.223.49: time=101.51 ms
[2024-11-05T10:56:29.643] - client - INFO - 46 bytes from 54.197.223.49: time=96.04 ms
[2024-11-05T10:56:29.934] - client - INFO - 46 bytes from 54.197.223.49: time=90.71 ms
[2024-11-05T10:56:30.224] - client - INFO - 46 bytes from 54.197.223.49: time=88.95 ms
[2024-11-05T10:56:30.512] - client - INFO - 46 bytes from 54.197.223.49: time=88.07 ms
[2024-11-05T10:56:30.806] - client - INFO - 46 bytes from 54.197.223.49: time=92.56 ms
[2024-11-05T10:56:31.105] - client - INFO - 46 bytes from 54.197.223.49: time=98.32 ms
[2024-11-05T10:56:31.393] - client - INFO - 46 bytes from 54.197.223.49: time=87.18 ms
[2024-11-05T10:56:31.687] - client - INFO - 46 bytes from 54.197.223.49: time=92.96 ms
[2024-11-05T10:56:31.999] - client - INFO - 46 bytes from 54.197.223.49: time=111.33 ms
[2024-11-05T10:56:32.312] - client - INFO - 46 bytes from 54.197.223.49: time=112.04 ms
[2024-11-05T10:56:32.623] - client - INFO - 46 bytes from 54.197.223.49: time=110.52 ms
[2024-11-05T10:56:32.915] - client - INFO - 46 bytes from 54.197.223.49: time=90.84 ms
[2024-11-05T10:56:33.213] - client - INFO - 46 bytes from 54.197.223.49: time=97.30 ms
[2024-11-05T10:56:33.512] - client - INFO - 46 bytes from 54.197.223.49: time=98.06 ms
[2024-11-05T10:56:33.812] - client - INFO - 46 bytes from 54.197.223.49: time=99.49 ms
[2024-11-05T10:56:34.112] - client - INFO - 46 bytes from 54.197.223.49: time=98.98 ms
[2024-11-05T10:56:34.413] - client - INFO - 46 bytes from 54.197.223.49: time=100.41 ms
[2024-11-05T10:56:34.711] - client - INFO - 46 bytes from 54.197.223.49: time=96.77 ms
[2024-11-05T10:56:35.043] - client - INFO - 46 bytes from 54.197.223.49: time=131.47 ms
[2024-11-05T10:56:35.334] - client - INFO - 46 bytes from 54.197.223.49: time=90.32 ms
[2024-11-05T10:56:35.623] - client - INFO - 46 bytes from 54.197.223.49: time=87.84 ms
[2024-11-05T10:56:35.929] - client - INFO - 46 bytes from 54.197.223.49: time=105.20 ms
[2024-11-05T10:56:36.233] - client - INFO - 46 bytes from 54.197.223.49: time=103.44 ms
[2024-11-05T10:56:36.525] - client - INFO - 46 bytes from 54.197.223.49: time=91.36 ms
[2024-11-05T10:56:36.815] - client - INFO - 46 bytes from 54.197.223.49: time=89.04 ms
[2024-11-05T10:56:37.106] - client - INFO - 46 bytes from 54.197.223.49: time=89.85 ms
[2024-11-05T10:56:37.406] - client - INFO - 46 bytes from 54.197.223.49: time=99.40 ms
[2024-11-05T10:56:37.706] - client - INFO - 46 bytes from 54.197.223.49: time=99.16 ms
[2024-11-05T10:56:38.005] - client - INFO - 46 bytes from 54.197.223.49: time=98.23 ms
[2024-11-05T10:56:38.296] - client - INFO - 46 bytes from 54.197.223.49: time=89.52 ms
[2024-11-05T10:56:38.584] - client - INFO - 46 bytes from 54.197.223.49: time=87.43 ms
[2024-11-05T10:56:38.876] - client - INFO - 46 bytes from 54.197.223.49: time=91.08 ms
[2024-11-05T10:56:39.178] - client - INFO - 46 bytes from 54.197.223.49: time=101.25 ms
[2024-11-05T10:56:39.464] - client - INFO - 46 bytes from 54.197.223.49: time=84.97 ms
[2024-11-05T10:56:39.755] - client - INFO - 46 bytes from 54.197.223.49: time=90.40 ms
[2024-11-05T10:56:40.044] - client - INFO - 46 bytes from 54.197.223.49: time=88.24 ms
[2024-11-05T10:56:40.332] - client - INFO - 46 bytes from 54.197.223.49: time=88.42 ms
[2024-11-05T10:56:40.624] - client - INFO - 46 bytes from 54.197.223.49: time=90.81 ms
[2024-11-05T10:56:40.913] - client - INFO - 46 bytes from 54.197.223.49: time=88.07 ms
[2024-11-05T10:56:41.283] - client - INFO - 46 bytes from 54.197.223.49: time=169.50 ms
[2024-11-05T10:56:41.575] - client - INFO - 46 bytes from 54.197.223.49: time=91.17 ms
[2024-11-05T10:56:41.864] - client - INFO - 46 bytes from 54.197.223.49: time=88.49 ms
[2024-11-05T10:56:42.156] - client - INFO - 46 bytes from 54.197.223.49: time=91.26 ms
[2024-11-05T10:56:42.455] - client - INFO - 46 bytes from 54.197.223.49: time=98.69 ms
[2024-11-05T10:56:42.744] - client - INFO - 46 bytes from 54.197.223.49: time=87.77 ms
[2024-11-05T10:56:43.043] - client - INFO - 46 bytes from 54.197.223.49: time=98.99 ms
[2024-11-05T10:56:43.334] - client - INFO - 46 bytes from 54.197.223.49: time=90.07 ms
[2024-11-05T10:56:43.623] - client - INFO - 46 bytes from 54.197.223.49: time=88.97 ms
[2024-11-05T10:56:44.005] - client - INFO - 46 bytes from 54.197.223.49: time=181.11 ms
[2024-11-05T10:56:44.296] - client - INFO - 46 bytes from 54.197.223.49: time=90.02 ms
[2024-11-05T10:56:44.583] - client - INFO - 46 bytes from 54.197.223.49: time=87.27 ms
[2024-11-05T10:56:44.874] - client - INFO - 46 bytes from 54.197.223.49: time=90.02 ms
[2024-11-05T10:56:45.166] - client - INFO - 46 bytes from 54.197.223.49: time=90.94 ms
[2024-11-05T10:56:45.467] - client - INFO - 46 bytes from 54.197.223.49: time=99.94 ms
[2024-11-05T10:56:45.756] - client - INFO - 46 bytes from 54.197.223.49: time=88.40 ms
[2024-11-05T10:56:46.056] - client - INFO - 46 bytes from 54.197.223.49: time=99.38 ms
[2024-11-05T10:56:46.354] - client - INFO - 46 bytes from 54.197.223.49: time=97.58 ms
[2024-11-05T10:56:46.646] - client - INFO - 46 bytes from 54.197.223.49: time=90.85 ms
[2024-11-05T10:56:46.947] - client - INFO - 46 bytes from 54.197.223.49: time=100.34 ms
[2024-11-05T10:56:47.234] - client - INFO - 46 bytes from 54.197.223.49: time=86.57 ms
[2024-11-05T10:56:47.525] - client - INFO - 46 bytes from 54.197.223.49: time=89.66 ms
[2024-11-05T10:56:47.826] - client - INFO - 46 bytes from 54.197.223.49: time=100.26 ms
[2024-11-05T10:56:48.124] - client - INFO - 46 bytes from 54.197.223.49: time=96.81 ms
[2024-11-05T10:56:48.416] - client - INFO - 46 bytes from 54.197.223.49: time=91.16 ms
[2024-11-05T10:56:48.715] - client - INFO - 46 bytes from 54.197.223.49: time=98.36 ms
[2024-11-05T10:56:49.006] - client - INFO - 46 bytes from 54.197.223.49: time=90.23 ms
[2024-11-05T10:56:49.304] - client - INFO - 46 bytes from 54.197.223.49: time=96.68 ms
[2024-11-05T10:56:49.597] - client - INFO - 46 bytes from 54.197.223.49: time=92.67 ms
[2024-11-05T10:56:49.885] - client - INFO - 46 bytes from 54.197.223.49: time=87.00 ms
[2024-11-05T10:56:50.176] - client - INFO - 46 bytes from 54.197.223.49: time=90.03 ms
[2024-11-05T10:56:50.476] - client - INFO - 46 bytes from 54.197.223.49: time=99.04 ms
[2024-11-05T10:56:50.766] - client - INFO - 46 bytes from 54.197.223.49: time=89.84 ms
[2024-11-05T10:56:51.066] - client - INFO - 46 bytes from 54.197.223.49: time=99.92 ms
[2024-11-05T10:56:51.356] - client - INFO - 46 bytes from 54.197.223.49: time=88.57 ms
[2024-11-05T10:56:51.653] - client - INFO - 46 bytes from 54.197.223.49: time=95.91 ms
[2024-11-05T10:56:51.944] - client - INFO - 46 bytes from 54.197.223.49: time=89.98 ms
[2024-11-05T10:56:52.236] - client - INFO - 46 bytes from 54.197.223.49: time=91.72 ms
[2024-11-05T10:56:52.535] - client - INFO - 46 bytes from 54.197.223.49: time=97.91 ms
[2024-11-05T10:56:52.823] - client - INFO - 46 bytes from 54.197.223.49: time=88.40 ms
[2024-11-05T10:56:53.115] - client - INFO - 46 bytes from 54.197.223.49: time=90.50 ms
[2024-11-05T10:56:53.405] - client - INFO - 46 bytes from 54.197.223.49: time=89.60 ms
[2024-11-05T10:56:53.693] - client - INFO - 46 bytes from 54.197.223.49: time=87.34 ms
[2024-11-05T10:56:53.986] - client - INFO - 46 bytes from 54.197.223.49: time=92.40 ms
[2024-11-05T10:56:54.292] - client - INFO - 46 bytes from 54.197.223.49: time=104.44 ms
[2024-11-05T10:56:56.605] - client - INFO - 46 bytes from 54.197.223.49: time=2112.58 ms
[2024-11-05T10:56:56.893] - client - INFO - 46 bytes from 54.197.223.49: time=87.05 ms
[2024-11-05T10:56:57.196] - client - INFO - 46 bytes from 54.197.223.49: time=101.97 ms
[2024-11-05T10:56:57.498] - client - INFO - 46 bytes from 54.197.223.49: time=101.34 ms
End time: 1730825817704
