Start time: 1730839989734
[2024-11-05T14:53:09.941] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-05T14:53:09.942] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-05T14:53:10.003] - client - INFO - 46 bytes from 54.197.223.49: time=61.36 ms
[2024-11-05T14:53:10.270] - client - INFO - 46 bytes from 54.197.223.49: time=66.09 ms
[2024-11-05T14:53:10.541] - client - INFO - 46 bytes from 54.197.223.49: time=66.94 ms
[2024-11-05T14:53:10.798] - client - INFO - 46 bytes from 54.197.223.49: time=55.96 ms
[2024-11-05T14:53:11.055] - client - INFO - 46 bytes from 54.197.223.49: time=56.05 ms
[2024-11-05T14:53:11.326] - client - INFO - 46 bytes from 54.197.223.49: time=69.31 ms
[2024-11-05T14:53:11.583] - client - INFO - 46 bytes from 54.197.223.49: time=56.55 ms
[2024-11-05T14:53:11.838] - client - INFO - 46 bytes from 54.197.223.49: time=53.87 ms
[2024-11-05T14:53:12.092] - client - INFO - 46 bytes from 54.197.223.49: time=51.19 ms
[2024-11-05T14:53:12.341] - client - INFO - 46 bytes from 54.197.223.49: time=48.07 ms
[2024-11-05T14:53:12.600] - client - INFO - 46 bytes from 54.197.223.49: time=57.71 ms
[2024-11-05T14:53:12.855] - client - INFO - 46 bytes from 54.197.223.49: time=54.69 ms
[2024-11-05T14:53:13.104] - client - INFO - 46 bytes from 54.197.223.49: time=47.98 ms
[2024-11-05T14:53:13.351] - client - INFO - 46 bytes from 54.197.223.49: time=45.26 ms
[2024-11-05T14:53:13.619] - client - INFO - 46 bytes from 54.197.223.49: time=66.05 ms
[2024-11-05T14:53:13.877] - client - INFO - 46 bytes from 54.197.223.49: time=55.76 ms
[2024-11-05T14:53:14.132] - client - INFO - 46 bytes from 54.197.223.49: time=51.95 ms
[2024-11-05T14:53:14.396] - client - INFO - 46 bytes from 54.197.223.49: time=63.60 ms
[2024-11-05T14:53:14.672] - client - INFO - 46 bytes from 54.197.223.49: time=74.49 ms
[2024-11-05T14:53:15.200] - client - INFO - 46 bytes from 54.197.223.49: time=326.66 ms
[2024-11-05T14:53:15.506] - client - INFO - 46 bytes from 54.197.223.49: time=105.52 ms
[2024-11-05T14:53:15.771] - client - INFO - 46 bytes from 54.197.223.49: time=63.45 ms
[2024-11-05T14:53:16.028] - client - INFO - 46 bytes from 54.197.223.49: time=55.07 ms
[2024-11-05T14:53:16.292] - client - INFO - 46 bytes from 54.197.223.49: time=63.37 ms
[2024-11-05T14:53:16.577] - client - INFO - 46 bytes from 54.197.223.49: time=84.93 ms
[2024-11-05T14:53:16.828] - client - INFO - 46 bytes from 54.197.223.49: time=49.28 ms
[2024-11-05T14:53:17.100] - client - INFO - 46 bytes from 54.197.223.49: time=70.75 ms
[2024-11-05T14:53:17.400] - client - INFO - 46 bytes from 54.197.223.49: time=99.37 ms
[2024-11-05T14:53:17.656] - client - INFO - 46 bytes from 54.197.223.49: time=54.94 ms
[2024-11-05T14:53:17.974] - client - INFO - 46 bytes from 54.197.223.49: time=115.71 ms
[2024-11-05T14:53:18.246] - client - INFO - 46 bytes from 54.197.223.49: time=71.90 ms
[2024-11-05T14:53:18.515] - client - INFO - 46 bytes from 54.197.223.49: time=66.77 ms
[2024-11-05T14:53:18.784] - client - INFO - 46 bytes from 54.197.223.49: time=68.24 ms
[2024-11-05T14:53:19.051] - client - INFO - 46 bytes from 54.197.223.49: time=64.91 ms
[2024-11-05T14:53:19.313] - client - INFO - 46 bytes from 54.197.223.49: time=59.93 ms
[2024-11-05T14:53:19.586] - client - INFO - 46 bytes from 54.197.223.49: time=72.09 ms
[2024-11-05T14:53:19.860] - client - INFO - 46 bytes from 54.197.223.49: time=73.47 ms
[2024-11-05T14:53:20.150] - client - INFO - 46 bytes from 54.197.223.49: time=89.03 ms
[2024-11-05T14:53:20.460] - client - INFO - 46 bytes from 54.197.223.49: time=108.21 ms
[2024-11-05T14:53:20.796] - client - INFO - 46 bytes from 54.197.223.49: time=135.22 ms
[2024-11-05T14:53:21.339] - client - INFO - 46 bytes from 54.197.223.49: time=342.75 ms
[2024-11-05T14:53:21.609] - client - INFO - 46 bytes from 54.197.223.49: time=68.63 ms
[2024-11-05T14:53:22.297] - client - INFO - 46 bytes from 54.197.223.49: time=486.82 ms
[2024-11-05T14:53:22.563] - client - INFO - 46 bytes from 54.197.223.49: time=63.77 ms
[2024-11-05T14:53:22.831] - client - INFO - 46 bytes from 54.197.223.49: time=65.52 ms
[2024-11-05T14:53:23.120] - client - INFO - 46 bytes from 54.197.223.49: time=87.72 ms
[2024-11-05T14:53:23.407] - client - INFO - 46 bytes from 54.197.223.49: time=86.14 ms
[2024-11-05T14:53:23.693] - client - INFO - 46 bytes from 54.197.223.49: time=83.88 ms
[2024-11-05T14:53:23.984] - client - INFO - 46 bytes from 54.197.223.49: time=90.49 ms
[2024-11-05T14:53:24.237] - client - INFO - 46 bytes from 54.197.223.49: time=48.19 ms
[2024-11-05T14:53:24.519] - client - INFO - 46 bytes from 54.197.223.49: time=80.56 ms
[2024-11-05T14:53:24.808] - client - INFO - 46 bytes from 54.197.223.49: time=88.92 ms
