Start time: 1730839112040
[2024-11-05T14:38:32.358] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-05T14:38:32.359] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-05T14:38:32.440] - client - INFO - 46 bytes from 54.197.223.49: time=81.15 ms
[2024-11-05T14:38:32.742] - client - INFO - 46 bytes from 54.197.223.49: time=100.56 ms
[2024-11-05T14:38:33.045] - client - INFO - 46 bytes from 54.197.223.49: time=101.58 ms
[2024-11-05T14:38:33.341] - client - INFO - 46 bytes from 54.197.223.49: time=95.36 ms
[2024-11-05T14:38:33.650] - client - INFO - 46 bytes from 54.197.223.49: time=107.43 ms
[2024-11-05T14:38:33.945] - client - INFO - 46 bytes from 54.197.223.49: time=93.96 ms
[2024-11-05T14:38:34.241] - client - INFO - 46 bytes from 54.197.223.49: time=95.18 ms
[2024-11-05T14:38:34.546] - client - INFO - 46 bytes from 54.197.223.49: time=104.18 ms
[2024-11-05T14:38:34.844] - client - INFO - 46 bytes from 54.197.223.49: time=96.64 ms
[2024-11-05T14:38:35.146] - client - INFO - 46 bytes from 54.197.223.49: time=100.93 ms
[2024-11-05T14:38:35.447] - client - INFO - 46 bytes from 54.197.223.49: time=98.14 ms
[2024-11-05T14:38:35.746] - client - INFO - 46 bytes from 54.197.223.49: time=97.29 ms
[2024-11-05T14:38:36.045] - client - INFO - 46 bytes from 54.197.223.49: time=98.71 ms
[2024-11-05T14:38:36.345] - client - INFO - 46 bytes from 54.197.223.49: time=98.73 ms
[2024-11-05T14:38:36.649] - client - INFO - 46 bytes from 54.197.223.49: time=103.22 ms
[2024-11-05T14:38:36.942] - client - INFO - 46 bytes from 54.197.223.49: time=91.94 ms
[2024-11-05T14:38:37.247] - client - INFO - 46 bytes from 54.197.223.49: time=103.64 ms
[2024-11-05T14:38:37.547] - client - INFO - 46 bytes from 54.197.223.49: time=99.06 ms
[2024-11-05T14:38:37.846] - client - INFO - 46 bytes from 54.197.223.49: time=97.08 ms
[2024-11-05T14:38:38.147] - client - INFO - 46 bytes from 54.197.223.49: time=100.68 ms
