Start time: 1730913659120
[2024-11-06T11:21:00.013691-0600] nuttcp-r: v8.1.4: socket
[2024-11-06T11:21:00.014094-0600] nuttcp-r: buflen=65536, nstream=1, port=5379 tcp
[2024-11-06T11:21:00.014127-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-06T11:21:00.014154-0600] nuttcp-r: connect to 54.197.223.49 with RTT=71.643 ms af=inet
[2024-11-06T11:21:00.014177-0600] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-06T11:21:00.014201-0600] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-06T11:21:00.014223-0600]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:00.513800-0600]     1.2500 MB /   0.50 sec =   20.9681 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:01.013878-0600]     0.9375 MB /   0.50 sec =   15.7275 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:01.513756-0600]     2.8125 MB /   0.50 sec =   47.1946 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:02.014209-0600]     3.2500 MB /   0.50 sec =   54.5219 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:02.513973-0600]     0.3125 MB /   0.50 sec =    5.2413 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:03.013781-0600]     4.5625 MB /   0.50 sec =   76.5709 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:03.513786-0600]     4.1875 MB /   0.50 sec =   70.2498 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:04.013948-0600]     3.5625 MB /   0.50 sec =   59.7740 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:04.513918-0600]     7.7500 MB /   0.50 sec =  130.0141 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:05.013749-0600]     9.3125 MB /   0.50 sec =  156.2506 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:05.514023-0600]     6.6250 MB /   0.50 sec =  111.1555 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:06.013763-0600]     8.0625 MB /   0.50 sec =  135.2547 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:06.513683-0600]    11.5625 MB /   0.50 sec =  193.9986 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:07.013821-0600]     6.1250 MB /   0.50 sec =  102.7420 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:07.513801-0600]     7.0625 MB /   0.50 sec =  118.4924 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:08.013773-0600]     9.0000 MB /   0.50 sec =  151.0110 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:08.514296-0600]     4.3125 MB /   0.50 sec =   72.2776 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:09.013887-0600]     5.6250 MB /   0.50 sec =   94.4703 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:09.513730-0600]     7.8750 MB /   0.50 sec =  132.1237 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:10.013941-0600]     8.9375 MB /   0.50 sec =  149.8918 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:10.513802-0600]    12.6250 MB /   0.50 sec =  211.8594 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:11.013726-0600]    15.7500 MB /   0.50 sec =  264.2766 Mbps     0 retrans     13 KB-cwnd
[2024-11-06T11:21:11.513858-0600]    17.5000 MB /   0.50 sec =  293.5261 Mbps     0 retrans     17 KB-cwnd
[2024-11-06T11:21:12.013996-0600]     6.1875 MB /   0.50 sec =  103.8063 Mbps     0 retrans     18 KB-cwnd
[2024-11-06T11:21:12.513757-0600]    14.6875 MB /   0.50 sec =  246.4696 Mbps     0 retrans     21 KB-cwnd
[2024-11-06T11:21:13.014807-0600]    10.4375 MB /   0.50 sec =  174.7560 Mbps     0 retrans     22 KB-cwnd
[2024-11-06T11:21:13.513970-0600]    16.2500 MB /   0.50 sec =  273.0924 Mbps     0 retrans     25 KB-cwnd
[2024-11-06T11:21:14.013730-0600]    24.4375 MB /   0.50 sec =  410.1540 Mbps     0 retrans     26 KB-cwnd
[2024-11-06T11:21:14.513730-0600]    13.3125 MB /   0.50 sec =  223.3471 Mbps     0 retrans     26 KB-cwnd
[2024-11-06T11:21:15.013754-0600]     3.1250 MB /   0.50 sec =   52.4291 Mbps     0 retrans     26 KB-cwnd
[2024-11-06T11:21:15.513882-0600]     2.0625 MB /   0.50 sec =   34.5934 Mbps     0 retrans     26 KB-cwnd
[2024-11-06T11:21:16.013834-0600]    11.3125 MB /   0.50 sec =  189.8131 Mbps     0 retrans     26 KB-cwnd
[2024-11-06T11:21:16.513732-0600]    10.1875 MB /   0.50 sec =  170.9456 Mbps     0 retrans     26 KB-cwnd
[2024-11-06T11:21:17.013717-0600]    12.8125 MB /   0.50 sec =  214.9619 Mbps     0 retrans     27 KB-cwnd
[2024-11-06T11:21:17.513833-0600]    14.1250 MB /   0.50 sec =  236.9862 Mbps     0 retrans     27 KB-cwnd
[2024-11-06T11:21:18.014155-0600]    18.3750 MB /   0.50 sec =  308.0171 Mbps     0 retrans     30 KB-cwnd
[2024-11-06T11:21:18.513829-0600]    27.4375 MB /   0.50 sec =  460.6943 Mbps     0 retrans     38 KB-cwnd
[2024-11-06T11:21:19.013749-0600]    23.1875 MB /   0.50 sec =  389.0264 Mbps     0 retrans     39 KB-cwnd
[2024-11-06T11:21:19.513753-0600]    24.7500 MB /   0.50 sec =  415.2211 Mbps     0 retrans     41 KB-cwnd
[2024-11-06T11:21:20.013907-0600]    31.1250 MB /   0.50 sec =  522.0541 Mbps   564 retrans   4385 KB-cwnd
[2024-11-06T11:21:20.513733-0600]    30.5625 MB /   0.50 sec =  512.9086 Mbps     0 retrans   4464 KB-cwnd
[2024-11-06T11:21:21.013810-0600]    40.2500 MB /   0.50 sec =  675.1817 Mbps     0 retrans   4606 KB-cwnd
[2024-11-06T11:21:21.513752-0600]    41.8125 MB /   0.50 sec =  701.5815 Mbps     0 retrans   4606 KB-cwnd
[2024-11-06T11:21:22.013772-0600]    42.7500 MB /   0.50 sec =  717.1887 Mbps   898 retrans  11117 KB-cwnd
[2024-11-06T11:21:22.513721-0600]    40.0000 MB /   0.50 sec =  671.1678 Mbps     0 retrans  11636 KB-cwnd
[2024-11-06T11:21:23.013651-0600]    35.9375 MB /   0.50 sec =  602.9300 Mbps     0 retrans   9441 KB-cwnd
[2024-11-06T11:21:23.513694-0600]    36.5625 MB /   0.50 sec =  613.4329 Mbps     0 retrans   9441 KB-cwnd
[2024-11-06T11:21:24.013695-0600]    27.2500 MB /   0.50 sec =  457.1554 Mbps     0 retrans  10938 KB-cwnd
[2024-11-06T11:21:24.513653-0600]    21.0000 MB /   0.50 sec =  352.3293 Mbps     0 retrans  10938 KB-cwnd
[2024-11-06T11:21:25.014169-0600]    29.8750 MB /   0.50 sec =  501.1602 Mbps     0 retrans  10938 KB-cwnd
[2024-11-06T11:21:25.513648-0600]    37.0625 MB /   0.50 sec =  621.8802 Mbps   332 retrans  11383 KB-cwnd
[2024-11-06T11:21:26.013732-0600]    32.8125 MB /   0.50 sec =  550.4264 Mbps     0 retrans  11383 KB-cwnd
[2024-11-06T11:21:26.513728-0600]    14.6875 MB /   0.50 sec =  246.4489 Mbps     0 retrans  10890 KB-cwnd
[2024-11-06T11:21:27.014167-0600]    26.5625 MB /   0.50 sec =  445.5815 Mbps     0 retrans  10890 KB-cwnd
[2024-11-06T11:21:27.514447-0600]    18.6250 MB /   0.50 sec =  312.0419 Mbps     0 retrans  10890 KB-cwnd
[2024-11-06T11:21:28.013750-0600]    26.0000 MB /   0.50 sec =  436.8638 Mbps  1786 retrans  10091 KB-cwnd
[2024-11-06T11:21:28.513690-0600]    15.1875 MB /   0.50 sec =  254.8029 Mbps     0 retrans  10091 KB-cwnd
[2024-11-06T11:21:29.014435-0600]    27.6250 MB /   0.50 sec =  463.2918 Mbps     0 retrans  10131 KB-cwnd
[2024-11-06T11:21:29.513629-0600]    37.9375 MB /   0.50 sec =  636.7696 Mbps     0 retrans      5 KB-cwnd
