Start time: 1731081666366
[2024-11-08T11:01:07.440472-0500] nuttcp-t: v8.1.4: socket
[2024-11-08T11:01:07.441026-0500] nuttcp-t: buflen=65536, nstream=1, port=5102 tcp -> 54.197.223.49
[2024-11-08T11:01:07.441067-0500] nuttcp-t: time limit = 120.00 seconds
[2024-11-08T11:01:07.441095-0500] nuttcp-t: connect to 54.197.223.49 with mss=1378, RTT=44.936 ms af=inet
[2024-11-08T11:01:07.441123-0500] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-08T11:01:07.441149-0500] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-08T11:01:07.441175-0500] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-08T11:01:07.441199-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T11:01:07.441224-0500] nuttcp-r: buflen=65536, nstream=1, port=5102 tcp
[2024-11-08T11:01:07.441248-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T11:01:07.441271-0500] nuttcp-r: accept from 166.194.191.33 with af=inet
[2024-11-08T11:01:07.441295-0500] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-08T11:01:07.441319-0500] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-08T11:01:26.776791-0500]     5.9375 MB /   0.50 sec =   99.6155 Mbps     0 retrans   1408 KB-cwnd
[2024-11-08T11:01:27.256675-0500]     5.6875 MB /   0.50 sec =   95.4202 Mbps     0 retrans   1515 KB-cwnd
[2024-11-08T11:01:27.754664-0500]     5.4375 MB /   0.50 sec =   91.2279 Mbps    45 retrans   1330 KB-cwnd
[2024-11-08T11:01:28.397320-0500]     6.1875 MB /   0.50 sec =  103.7947 Mbps     0 retrans   1353 KB-cwnd
[2024-11-08T11:01:28.819638-0500]     6.5625 MB /   0.50 sec =  110.1137 Mbps     0 retrans   1355 KB-cwnd
[2024-11-08T11:01:29.526430-0500]     5.8125 MB /   0.50 sec =   97.5164 Mbps     4 retrans   1085 KB-cwnd
[2024-11-08T11:01:29.740215-0500]     3.8750 MB /   0.50 sec =   65.0135 Mbps     0 retrans   1212 KB-cwnd
[2024-11-08T11:01:30.366723-0500]     6.4375 MB /   0.50 sec =  108.0042 Mbps     0 retrans   1220 KB-cwnd
[2024-11-08T11:01:30.791941-0500]     6.1875 MB /   0.50 sec =  103.8051 Mbps     0 retrans   1225 KB-cwnd
[2024-11-08T11:01:31.428723-0500]     6.3125 MB /   0.50 sec =  105.9072 Mbps     0 retrans   1473 KB-cwnd
[2024-11-08T11:01:31.846064-0500]     6.6250 MB /   0.50 sec =  111.1415 Mbps     0 retrans   1548 KB-cwnd
[2024-11-08T11:01:32.286905-0500]     6.1875 MB /   0.50 sec =  103.8142 Mbps     0 retrans   1636 KB-cwnd
[2024-11-08T11:01:32.938802-0500]     6.2500 MB /   0.50 sec =  104.8612 Mbps     1 retrans   1379 KB-cwnd
[2024-11-08T11:01:33.366916-0500]     6.1875 MB /   0.50 sec =  103.8080 Mbps     0 retrans   1379 KB-cwnd
[2024-11-08T11:01:33.784669-0500]     6.2500 MB /   0.50 sec =  104.8505 Mbps     0 retrans   1379 KB-cwnd
[2024-11-08T11:01:34.418816-0500]     6.5000 MB /   0.50 sec =  108.9654 Mbps     0 retrans   1379 KB-cwnd
[2024-11-08T11:01:34.854812-0500]     6.2500 MB /   0.50 sec =  104.9439 Mbps     0 retrans   1379 KB-cwnd
[2024-11-08T11:01:35.291468-0500]     6.4375 MB /   0.50 sec =  108.0066 Mbps     0 retrans   1519 KB-cwnd
[2024-11-08T11:01:35.734583-0500]     5.9375 MB /   0.50 sec =   99.6141 Mbps     0 retrans   1519 KB-cwnd
[2024-11-08T11:01:36.389183-0500]     6.2500 MB /   0.50 sec =  104.8595 Mbps     0 retrans   1519 KB-cwnd
[2024-11-08T11:01:36.852744-0500]     6.0625 MB /   0.50 sec =  101.7094 Mbps     0 retrans   1519 KB-cwnd
[2024-11-08T11:01:37.306714-0500]     5.9375 MB /   0.50 sec =   99.6183 Mbps     0 retrans   1609 KB-cwnd
[2024-11-08T11:01:37.761321-0500]     5.9375 MB /   0.50 sec =   99.6119 Mbps     0 retrans   1609 KB-cwnd
[2024-11-08T11:01:38.219035-0500]     5.8750 MB /   0.50 sec =   98.5516 Mbps     0 retrans   1609 KB-cwnd
[2024-11-08T11:01:38.911049-0500]     6.1250 MB /   0.50 sec =  102.7779 Mbps     0 retrans   1626 KB-cwnd
[2024-11-08T11:01:39.346637-0500]     6.3125 MB /   0.50 sec =  105.9049 Mbps     0 retrans   1629 KB-cwnd
[2024-11-08T11:01:39.827640-0500]     6.1250 MB /   0.50 sec =  102.7598 Mbps     1 retrans   1302 KB-cwnd
[2024-11-08T11:01:40.280954-0500]     6.1250 MB /   0.50 sec =  102.7570 Mbps     0 retrans   1456 KB-cwnd
[2024-11-08T11:01:40.936891-0500]     6.1875 MB /   0.50 sec =  103.8132 Mbps     0 retrans   1457 KB-cwnd
[2024-11-08T11:01:41.430911-0500]     6.0625 MB /   0.50 sec =  101.7113 Mbps     0 retrans   1458 KB-cwnd
[2024-11-08T11:01:41.852037-0500]     5.8125 MB /   0.50 sec =   97.4885 Mbps     0 retrans   1461 KB-cwnd
[2024-11-08T11:01:42.306548-0500]     5.9375 MB /   0.50 sec =   99.6344 Mbps     0 retrans   1461 KB-cwnd
[2024-11-08T11:01:42.744581-0500]     6.1875 MB /   0.50 sec =  103.8211 Mbps     0 retrans   1464 KB-cwnd
[2024-11-08T11:01:43.259739-0500]     5.7500 MB /   0.50 sec =   96.4391 Mbps     0 retrans   1468 KB-cwnd
[2024-11-08T11:01:43.757345-0500]     6.0625 MB /   0.50 sec =  101.7426 Mbps     0 retrans   1587 KB-cwnd
[2024-11-08T11:01:44.454658-0500]     5.9375 MB /   0.50 sec =   99.5110 Mbps     0 retrans   1750 KB-cwnd
[2024-11-08T11:01:44.920754-0500]     6.0000 MB /   0.50 sec =  100.7693 Mbps     0 retrans   1750 KB-cwnd
[2024-11-08T11:01:45.350405-0500]     6.0625 MB /   0.50 sec =  101.7109 Mbps     0 retrans   1750 KB-cwnd
[2024-11-08T11:01:45.817089-0500]     6.0625 MB /   0.50 sec =  101.7125 Mbps     0 retrans   1835 KB-cwnd
[2024-11-08T11:01:46.360671-0500]     5.8750 MB /   0.50 sec =   98.5549 Mbps     0 retrans   2041 KB-cwnd
[2024-11-08T11:01:46.818620-0500]     5.9375 MB /   0.50 sec =   99.6201 Mbps     0 retrans   2041 KB-cwnd
[2024-11-08T11:01:47.275960-0500]     5.8750 MB /   0.50 sec =   98.5484 Mbps     1 retrans   1710 KB-cwnd
[2024-11-08T11:01:47.787332-0500]     5.6875 MB /   0.50 sec =   95.4343 Mbps     0 retrans   1827 KB-cwnd
[2024-11-08T11:01:48.280449-0500]     5.8125 MB /   0.50 sec =   97.5222 Mbps     0 retrans   1882 KB-cwnd
[2024-11-08T11:01:48.932132-0500]     5.9375 MB /   0.50 sec =   99.6099 Mbps     0 retrans   1976 KB-cwnd
[2024-11-08T11:01:49.406716-0500]     5.9375 MB /   0.50 sec =   99.6265 Mbps     0 retrans   1976 KB-cwnd
[2024-11-08T11:01:49.860637-0500]     5.8125 MB /   0.50 sec =   97.5127 Mbps     0 retrans   1976 KB-cwnd
[2024-11-08T11:01:50.341290-0500]     5.8125 MB /   0.50 sec =   97.5146 Mbps     0 retrans   1976 KB-cwnd
[2024-11-08T11:01:50.822435-0500]     5.8125 MB /   0.50 sec =   97.5195 Mbps     0 retrans   1976 KB-cwnd
[2024-11-08T11:01:51.352639-0500]     5.8750 MB /   0.50 sec =   98.5691 Mbps     0 retrans   1984 KB-cwnd
[2024-11-08T11:01:51.772198-0500]     6.0000 MB /   0.50 sec =  100.6599 Mbps     0 retrans   2025 KB-cwnd
[2024-11-08T11:01:52.249241-0500]     6.1250 MB /   0.50 sec =  102.7625 Mbps     0 retrans   2025 KB-cwnd
[2024-11-08T11:01:52.917251-0500]     6.3125 MB /   0.50 sec =  105.9055 Mbps     0 retrans   2025 KB-cwnd
[2024-11-08T11:01:53.400781-0500]     6.1250 MB /   0.50 sec =  102.7635 Mbps     0 retrans   2025 KB-cwnd
[2024-11-08T11:01:53.876433-0500]     5.8125 MB /   0.50 sec =   97.5166 Mbps     0 retrans   2025 KB-cwnd
[2024-11-08T11:01:54.411969-0500]     5.6250 MB /   0.50 sec =   94.3709 Mbps     1 retrans   1674 KB-cwnd
[2024-11-08T11:01:54.938782-0500]     6.0625 MB /   0.50 sec =  101.7135 Mbps     0 retrans   1809 KB-cwnd
[2024-11-08T11:01:55.348625-0500]     5.9375 MB /   0.50 sec =   99.6159 Mbps     0 retrans   1812 KB-cwnd
[2024-11-08T11:01:55.802685-0500]     6.0000 MB /   0.50 sec =  100.6615 Mbps     0 retrans   1814 KB-cwnd
[2024-11-08T11:01:56.249427-0500]     5.9375 MB /   0.50 sec =   99.6143 Mbps     0 retrans   1814 KB-cwnd
[2024-11-08T11:01:56.751640-0500]     6.1250 MB /   0.50 sec =  102.7604 Mbps     0 retrans   1815 KB-cwnd
[2024-11-08T11:01:57.426742-0500]     5.9375 MB /   0.50 sec =   99.6111 Mbps     0 retrans   1815 KB-cwnd
[2024-11-08T11:01:57.876857-0500]     6.0000 MB /   0.50 sec =  100.6685 Mbps     0 retrans   1815 KB-cwnd
[2024-11-08T11:01:58.392939-0500]     5.8750 MB /   0.50 sec =   98.5608 Mbps     0 retrans   1816 KB-cwnd
[2024-11-08T11:01:58.950843-0500]     4.9375 MB /   0.50 sec =   82.8410 Mbps     0 retrans   1818 KB-cwnd
[2024-11-08T11:01:59.416870-0500]     5.2500 MB /   0.50 sec =   88.0804 Mbps     0 retrans   1818 KB-cwnd
[2024-11-08T11:01:59.892351-0500]     5.5000 MB /   0.50 sec =   92.1663 Mbps     0 retrans   1818 KB-cwnd
[2024-11-08T11:02:00.349096-0500]     6.0000 MB /   0.50 sec =  100.7822 Mbps     0 retrans   1818 KB-cwnd
[2024-11-08T11:02:00.816149-0500]     5.6875 MB /   0.50 sec =   95.4212 Mbps     0 retrans   1818 KB-cwnd
[2024-11-08T11:02:01.280901-0500]     5.7500 MB /   0.50 sec =   96.4700 Mbps     0 retrans   1818 KB-cwnd
[2024-11-08T11:02:01.748284-0500]     5.1250 MB /   0.50 sec =   85.9781 Mbps     1 retrans   1453 KB-cwnd
[2024-11-08T11:02:02.442379-0500]     6.5625 MB /   0.50 sec =  110.1055 Mbps     0 retrans   1497 KB-cwnd
[2024-11-08T11:02:02.924630-0500]     5.5625 MB /   0.50 sec =   93.3214 Mbps     0 retrans   1497 KB-cwnd
[2024-11-08T11:02:03.424749-0500]     5.5625 MB /   0.50 sec =   93.3253 Mbps     0 retrans   1497 KB-cwnd
[2024-11-08T11:02:03.923617-0500]     5.3125 MB /   0.50 sec =   89.1133 Mbps     0 retrans   1497 KB-cwnd
[2024-11-08T11:02:04.406812-0500]     5.4375 MB /   0.50 sec =   91.2396 Mbps     0 retrans   1497 KB-cwnd
[2024-11-08T11:02:04.898652-0500]     5.6250 MB /   0.50 sec =   94.3707 Mbps     0 retrans   1497 KB-cwnd
[2024-11-08T11:02:05.406438-0500]     5.3125 MB /   0.50 sec =   89.1297 Mbps     0 retrans   1497 KB-cwnd
[2024-11-08T11:02:05.926853-0500]     5.1250 MB /   0.50 sec =   85.9552 Mbps     0 retrans   1497 KB-cwnd
[2024-11-08T11:02:06.436767-0500]     5.3125 MB /   0.50 sec =   88.8659 Mbps     0 retrans   1497 KB-cwnd
