Start time: 1730590620517
[2024-11-02T17:37:02.470185-0600] nuttcp-r: v8.1.4: socket
[2024-11-02T17:37:02.471072-0600] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-02T17:37:02.471161-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-02T17:37:02.471224-0600] nuttcp-r: connect to 54.176.53.206 with RTT=57.778 ms af=inet
[2024-11-02T17:37:02.471286-0600] nuttcp-r: send window size = 1048576, receive window size = 4194304
[2024-11-02T17:37:02.471343-0600] nuttcp-r: available send window = 786432, available receive window = 3145728
[2024-11-02T17:37:02.471401-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps    -1 retrans
[2024-11-02T17:37:02.971306-0600]     0.1250 MB /   0.50 sec =    2.0921 Mbps     1 retrans
[2024-11-02T17:37:03.470129-0600]     0.1250 MB /   0.50 sec =    2.1020 Mbps     0 retrans
[2024-11-02T17:37:03.970156-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans
[2024-11-02T17:37:04.469953-0600]     0.0625 MB /   0.50 sec =    1.0488 Mbps     0 retrans
[2024-11-02T17:37:04.970002-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans
[2024-11-02T17:37:05.470110-0600]     0.1250 MB /   0.50 sec =    2.0970 Mbps     0 retrans
[2024-11-02T17:37:05.970127-0600]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans
[2024-11-02T17:37:06.470007-0600]     0.3750 MB /   0.50 sec =    6.2923 Mbps     0 retrans
End time: 1730590626650
