Start time: 1730830649207
[2024-11-05T12:17:29.428527-0600] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2024-11-05T12:17:29.429006-0600] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=53 time=96.7 ms
[2024-11-05T12:17:29.593908-0600] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=53 time=61.5 ms
[2024-11-05T12:17:29.798473-0600] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=53 time=66.0 ms
[2024-11-05T12:17:30.000565-0600] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=53 time=67.4 ms
[2024-11-05T12:17:30.204853-0600] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=53 time=71.5 ms
[2024-11-05T12:17:30.400695-0600] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=53 time=67.1 ms
[2024-11-05T12:17:30.623528-0600] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=53 time=89.2 ms
[2024-11-05T12:17:30.892320-0600] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=53 time=157 ms
[2024-11-05T12:17:30.998505-0600] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=53 time=62.6 ms
[2024-11-05T12:17:31.193628-0600] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=53 time=56.5 ms
[2024-11-05T12:17:31.393692-0600] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=53 time=55.2 ms
[2024-11-05T12:17:31.600815-0600] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=53 time=61.4 ms
[2024-11-05T12:17:31.790598-0600] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=53 time=50.2 ms
[2024-11-05T12:17:31.993521-0600] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=53 time=52.3 ms
[2024-11-05T12:17:32.188492-0600] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=53 time=46.4 ms
[2024-11-05T12:17:32.393644-0600] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=53 time=50.5 ms
[2024-11-05T12:17:32.594978-0600] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=53 time=50.5 ms
[2024-11-05T12:17:32.793365-0600] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=53 time=48.8 ms
[2024-11-05T12:17:33.005540-0600] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=53 time=60.6 ms
[2024-11-05T12:17:33.211061-0600] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=53 time=65.7 ms
[2024-11-05T12:17:33.450574-0600] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=53 time=105 ms
[2024-11-05T12:17:33.596612-0600] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=53 time=50.3 ms
[2024-11-05T12:17:33.833553-0600] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=53 time=86.2 ms
[2024-11-05T12:17:34.000484-0600] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=53 time=52.3 ms
[2024-11-05T12:17:34.203888-0600] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=53 time=55.6 ms
[2024-11-05T12:17:34.425489-0600] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=53 time=77.0 ms
[2024-11-05T12:17:34.605703-0600] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=53 time=56.4 ms
[2024-11-05T12:17:34.820374-0600] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=53 time=70.2 ms
[2024-11-05T12:17:35.016671-0600] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=53 time=65.5 ms
[2024-11-05T12:17:35.350491-0600] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=53 time=199 ms
