Start time: 1730828372020
[2024-11-05T11:39:32.266] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-05T11:39:32.267] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-05T11:39:32.311] - client - INFO - 46 bytes from 54.197.223.49: time=44.14 ms
[2024-11-05T11:39:32.567] - client - INFO - 46 bytes from 54.197.223.49: time=55.59 ms
[2024-11-05T11:39:32.828] - client - INFO - 46 bytes from 54.197.223.49: time=60.82 ms
[2024-11-05T11:39:33.086] - client - INFO - 46 bytes from 54.197.223.49: time=57.29 ms
[2024-11-05T11:39:33.355] - client - INFO - 46 bytes from 54.197.223.49: time=67.52 ms
[2024-11-05T11:39:33.885] - client - INFO - 46 bytes from 54.197.223.49: time=328.55 ms
[2024-11-05T11:39:34.141] - client - INFO - 46 bytes from 54.197.223.49: time=54.68 ms
[2024-11-05T11:39:34.403] - client - INFO - 46 bytes from 54.197.223.49: time=61.71 ms
[2024-11-05T11:39:34.665] - client - INFO - 46 bytes from 54.197.223.49: time=61.73 ms
[2024-11-05T11:39:34.945] - client - INFO - 46 bytes from 54.197.223.49: time=79.36 ms
[2024-11-05T11:39:35.212] - client - INFO - 46 bytes from 54.197.223.49: time=66.69 ms
[2024-11-05T11:39:35.484] - client - INFO - 46 bytes from 54.197.223.49: time=71.64 ms
[2024-11-05T11:39:35.752] - client - INFO - 46 bytes from 54.197.223.49: time=67.34 ms
[2024-11-05T11:39:36.005] - client - INFO - 46 bytes from 54.197.223.49: time=52.33 ms
[2024-11-05T11:39:36.265] - client - INFO - 46 bytes from 54.197.223.49: time=59.66 ms
[2024-11-05T11:39:36.545] - client - INFO - 46 bytes from 54.197.223.49: time=79.38 ms
[2024-11-05T11:39:36.805] - client - INFO - 46 bytes from 54.197.223.49: time=59.84 ms
[2024-11-05T11:39:37.085] - client - INFO - 46 bytes from 54.197.223.49: time=79.75 ms
[2024-11-05T11:39:37.335] - client - INFO - 46 bytes from 54.197.223.49: time=49.38 ms
[2024-11-05T11:39:37.613] - client - INFO - 46 bytes from 54.197.223.49: time=77.47 ms
[2024-11-05T11:39:37.881] - client - INFO - 46 bytes from 54.197.223.49: time=66.65 ms
[2024-11-05T11:39:38.140] - client - INFO - 46 bytes from 54.197.223.49: time=58.83 ms
[2024-11-05T11:39:38.400] - client - INFO - 46 bytes from 54.197.223.49: time=58.97 ms
[2024-11-05T11:39:38.656] - client - INFO - 46 bytes from 54.197.223.49: time=55.08 ms
[2024-11-05T11:39:38.928] - client - INFO - 46 bytes from 54.197.223.49: time=71.18 ms
[2024-11-05T11:39:39.181] - client - INFO - 46 bytes from 54.197.223.49: time=52.51 ms
[2024-11-05T11:39:39.448] - client - INFO - 46 bytes from 54.197.223.49: time=66.37 ms
[2024-11-05T11:39:39.726] - client - INFO - 46 bytes from 54.197.223.49: time=77.25 ms
[2024-11-05T11:39:40.005] - client - INFO - 46 bytes from 54.197.223.49: time=78.72 ms
[2024-11-05T11:39:40.277] - client - INFO - 46 bytes from 54.197.223.49: time=70.55 ms
