Start time: 1730836597170
[2024-11-05T13:56:37.399] - client - INFO - Connected to 54.197.223.49:65432
[2024-11-05T13:56:37.399] - client - INFO - PING 54.197.223.49 26(66) bytes of data.
[2024-11-05T13:56:37.495] - client - INFO - 46 bytes from 54.197.223.49: time=95.64 ms
[2024-11-05T13:56:37.778] - client - INFO - 46 bytes from 54.197.223.49: time=82.12 ms
[2024-11-05T13:56:38.058] - client - INFO - 46 bytes from 54.197.223.49: time=79.31 ms
[2024-11-05T13:56:38.337] - client - INFO - 46 bytes from 54.197.223.49: time=78.91 ms
[2024-11-05T13:56:38.617] - client - INFO - 46 bytes from 54.197.223.49: time=79.42 ms
[2024-11-05T13:56:38.898] - client - INFO - 46 bytes from 54.197.223.49: time=79.72 ms
[2024-11-05T13:56:39.178] - client - INFO - 46 bytes from 54.197.223.49: time=78.93 ms
[2024-11-05T13:56:39.457] - client - INFO - 46 bytes from 54.197.223.49: time=78.58 ms
[2024-11-05T13:56:39.748] - client - INFO - 46 bytes from 54.197.223.49: time=89.97 ms
[2024-11-05T13:56:40.036] - client - INFO - 46 bytes from 54.197.223.49: time=86.72 ms
[2024-11-05T13:56:40.318] - client - INFO - 46 bytes from 54.197.223.49: time=81.25 ms
[2024-11-05T13:56:40.598] - client - INFO - 46 bytes from 54.197.223.49: time=79.72 ms
[2024-11-05T13:56:40.878] - client - INFO - 46 bytes from 54.197.223.49: time=79.07 ms
[2024-11-05T13:56:41.158] - client - INFO - 46 bytes from 54.197.223.49: time=78.88 ms
[2024-11-05T13:56:41.437] - client - INFO - 46 bytes from 54.197.223.49: time=78.67 ms
[2024-11-05T13:56:41.718] - client - INFO - 46 bytes from 54.197.223.49: time=79.69 ms
[2024-11-05T13:56:41.998] - client - INFO - 46 bytes from 54.197.223.49: time=79.75 ms
[2024-11-05T13:56:42.277] - client - INFO - 46 bytes from 54.197.223.49: time=78.53 ms
[2024-11-05T13:56:42.558] - client - INFO - 46 bytes from 54.197.223.49: time=79.84 ms
[2024-11-05T13:56:42.838] - client - INFO - 46 bytes from 54.197.223.49: time=79.46 ms
[2024-11-05T13:56:43.117] - client - INFO - 46 bytes from 54.197.223.49: time=78.10 ms
[2024-11-05T13:56:43.398] - client - INFO - 46 bytes from 54.197.223.49: time=80.19 ms
[2024-11-05T13:56:43.677] - client - INFO - 46 bytes from 54.197.223.49: time=78.24 ms
[2024-11-05T13:56:43.958] - client - INFO - 46 bytes from 54.197.223.49: time=79.92 ms
[2024-11-05T13:56:44.249] - client - INFO - 46 bytes from 54.197.223.49: time=89.92 ms
[2024-11-05T13:56:44.537] - client - INFO - 46 bytes from 54.197.223.49: time=87.87 ms
[2024-11-05T13:56:44.837] - client - INFO - 46 bytes from 54.197.223.49: time=98.45 ms
[2024-11-05T13:56:45.124] - client - INFO - 46 bytes from 54.197.223.49: time=86.76 ms
[2024-11-05T13:56:45.410] - client - INFO - 46 bytes from 54.197.223.49: time=84.80 ms
[2024-11-05T13:56:45.697] - client - INFO - 46 bytes from 54.197.223.49: time=86.30 ms
[2024-11-05T13:56:45.977] - client - INFO - 46 bytes from 54.197.223.49: time=79.47 ms
[2024-11-05T13:56:46.275] - client - INFO - 46 bytes from 54.197.223.49: time=96.88 ms
[2024-11-05T13:56:46.564] - client - INFO - 46 bytes from 54.197.223.49: time=88.81 ms
[2024-11-05T13:56:46.847] - client - INFO - 46 bytes from 54.197.223.49: time=81.78 ms
[2024-11-05T13:56:47.137] - client - INFO - 46 bytes from 54.197.223.49: time=89.07 ms
[2024-11-05T13:56:47.418] - client - INFO - 46 bytes from 54.197.223.49: time=80.14 ms
[2024-11-05T13:56:47.718] - client - INFO - 46 bytes from 54.197.223.49: time=99.91 ms
[2024-11-05T13:56:47.997] - client - INFO - 46 bytes from 54.197.223.49: time=77.44 ms
[2024-11-05T13:56:48.277] - client - INFO - 46 bytes from 54.197.223.49: time=79.28 ms
[2024-11-05T13:56:48.558] - client - INFO - 46 bytes from 54.197.223.49: time=80.63 ms
[2024-11-05T13:56:48.837] - client - INFO - 46 bytes from 54.197.223.49: time=78.29 ms
[2024-11-05T13:56:49.117] - client - INFO - 46 bytes from 54.197.223.49: time=79.12 ms
[2024-11-05T13:56:49.397] - client - INFO - 46 bytes from 54.197.223.49: time=79.20 ms
[2024-11-05T13:56:49.677] - client - INFO - 46 bytes from 54.197.223.49: time=79.26 ms
[2024-11-05T13:56:49.962] - client - INFO - 46 bytes from 54.197.223.49: time=84.22 ms
[2024-11-05T13:56:50.237] - client - INFO - 46 bytes from 54.197.223.49: time=74.68 ms
[2024-11-05T13:56:50.511] - client - INFO - 46 bytes from 54.197.223.49: time=73.20 ms
[2024-11-05T13:56:50.792] - client - INFO - 46 bytes from 54.197.223.49: time=80.45 ms
[2024-11-05T13:56:51.072] - client - INFO - 46 bytes from 54.197.223.49: time=78.51 ms
[2024-11-05T13:56:51.352] - client - INFO - 46 bytes from 54.197.223.49: time=79.65 ms
[2024-11-05T13:56:51.637] - client - INFO - 46 bytes from 54.197.223.49: time=83.68 ms
[2024-11-05T13:56:51.917] - client - INFO - 46 bytes from 54.197.223.49: time=79.49 ms
[2024-11-05T13:56:52.197] - client - INFO - 46 bytes from 54.197.223.49: time=79.14 ms
[2024-11-05T13:56:52.477] - client - INFO - 46 bytes from 54.197.223.49: time=79.24 ms
[2024-11-05T13:56:52.758] - client - INFO - 46 bytes from 54.197.223.49: time=79.86 ms
[2024-11-05T13:56:53.037] - client - INFO - 46 bytes from 54.197.223.49: time=78.72 ms
[2024-11-05T13:56:53.317] - client - INFO - 46 bytes from 54.197.223.49: time=79.19 ms
[2024-11-05T13:56:53.597] - client - INFO - 46 bytes from 54.197.223.49: time=78.80 ms
[2024-11-05T13:56:53.877] - client - INFO - 46 bytes from 54.197.223.49: time=79.26 ms
