Start time: 1730765421935
[2024-11-04T18:10:23.334197-0600] nuttcp-t: v8.1.4: socket
[2024-11-04T18:10:23.334802-0600] nuttcp-t: buflen=65536, nstream=1, port=5101 tcp -> 54.176.53.206
[2024-11-04T18:10:23.334842-0600] nuttcp-t: time limit = 120.00 seconds
[2024-11-04T18:10:23.334869-0600] nuttcp-t: connect to 54.176.53.206 with mss=1376, RTT=120.593 ms af=inet
[2024-11-04T18:10:23.334895-0600] nuttcp-t: send window size = 2097152, receive window size = 6291456
[2024-11-04T18:10:23.334921-0600] nuttcp-t: available send window = 1572864, available receive window = 4718592
[2024-11-04T18:10:23.334966-0600] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-11-04T18:10:23.334991-0600] nuttcp-r: v6.1.2: socket
[2024-11-04T18:10:23.335016-0600] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-04T18:10:23.335042-0600] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-04T18:10:23.335066-0600] nuttcp-r: accept from 174.234.160.40
[2024-11-04T18:10:23.335097-0600] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-11-04T18:10:23.335122-0600] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-11-04T18:10:23.335148-0600]     0.2500 MB /   0.50 sec =    4.1942 Mbps    23 retrans    310 KB-cwnd
[2024-11-04T18:10:23.691204-0600]     1.0625 MB /   0.50 sec =   17.8256 Mbps    25 retrans    201 KB-cwnd
[2024-11-04T18:10:25.170532-0600]     0.9375 MB /   0.50 sec =   15.7286 Mbps   109 retrans     59 KB-cwnd
[2024-11-04T18:10:25.170898-0600]     0.5000 MB /   0.50 sec =    8.3884 Mbps     0 retrans     59 KB-cwnd
[2024-11-04T18:10:25.171041-0600]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     59 KB-cwnd
[2024-11-04T18:10:35.734821-0600]     0.1875 MB /   0.50 sec =    3.1458 Mbps    74 retrans    110 KB-cwnd
[2024-11-04T18:10:35.735244-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans    110 KB-cwnd
[2024-11-04T18:10:35.735400-0600]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans    110 KB-cwnd
[2024-11-04T18:10:35.735516-0600]     0.0625 MB /   0.50 sec =    1.0485 Mbps     0 retrans    110 KB-cwnd
[2024-11-04T18:10:35.735630-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans    110 KB-cwnd
[2024-11-04T18:10:35.735739-0600]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans    110 KB-cwnd
[2024-11-04T18:10:35.735842-0600]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans    110 KB-cwnd
